UniqueCount	AmbigCount
2545	36
83	4
352	4
78	5
1815	14
3378	12
867	6
1777	5
4451	5
45	0
141	0
1309	0
323	2
644	2
1089	5
147	8
179	3
1206	1
3680	20
2586	39
4197	62
4359	45
1542	4
6149	5
196	6
294	4
609	0
6	0
5	0
0	0
2	0
3807	5
2	0
11	0
188	0
31	0
162	0
221	5
32	11
926	7
35	1
16	1
36	0
20	1
65	4
149	3
456	0
332	0
373	3
120	2
206	0
4834	4
9599	24
15627	24
48	0
62	0
23	2
19	2
1	0
307	1
91	2
178	1
46	0
134	0
171	0
18568	17
400	0
39	0
91	0
1	0
552	2
159	2
144	3
529	3
144	0
44	0
333	0
4999	13
190	13
1172	0
665	22
288	29
223	13
156	15
425	9
1418	30
1056	31
2704	2
916	17
356	25
4462	17
1484	31
3016	107
871	78
1873	15
594	15
4	0
34	0
433	0
22933	4
919	5
243	16
448	11
5708	248
4304	611
6744	366
945	3
380	3
559	4
76	0
16	0
40	0
15	0
7	0
30	0
30	0
48	0
1207	2
997	29
356	28
478	5
881	7
601	2
563	6
524	13
288	10
54	14
858	11
74	0
113	0
0	0
1	0
14	0
101	0
2859	3
3	0
1	1
0	1
2	0
2	0
2	0
2	0
3	0
954	0
75	0
38	4
194	4
7	4
141	8
126	4
409	0
79	3
115	3
67	0
113	0
128	0
63	0
2378	3
632	5
174	7
300	4
345	14
471	27
187	14
23	1
208	9
686	10
590	1
244	0
167	0
57	2
366	2
13	0
0	0
121	12
819	12
90	0
0	0
3	0
4	0
8	0
0	0
1	0
0	0
0	0
61	0
0	0
0	0
55	0
14	0
222	0
6	0
0	0
1	0
0	0
3	1
4	1
1961	5
1775	6
219	2
378	8
909	9
768	6
174	11
1921	21
664	56
726	43
87	2
149	2
771	0
304	0
56	0
6756	9
795	0
75	0
490	0
379	0
360	0
90	0
68	2
216	2
43	0
35	0
1	0
7	0
313	4
2635	5
2025	2
167	0
73	0
128	8
17631	73
5610	65
1230	0
1469	16
184	27
3613	19
25	0
2056	1
12953	8
61	0
2374	3
1	0
17	0
66	0
38	0
175	1
73	0
152	0
1	0
5	0
64	0
406	0
4	0
1	0
189	0
526	0
3926	7
2361	1
83	2
1276	11
172	24
225	21
3637	14
522	33
396	31
640	74
156	30
854	28
436	1
510	1
311	0
5186	4
14	0
2325	12
361	38
4790	29
2961	1
670	3
344	6
586	19
330	16
6391	6
24182	15
962	0
959	7
1153	7
278	4
933	1
262	0
205	0
102	0
656	0
4604	3
121	0
1041	2
135	0
3824	0
1112	0
15	1
82	4
52	3
250	0
6	0
7	0
38	0
83	0
469	0
3	0
1780	3
362	0
1442	0
32	0
138	4
634	4
7	0
26	0
53	2
222	2
111	0
138	0
19	1
614	4
81	2
491	2
32	4
80	7
173	9
96	7
112	3
603	1
85	0
9	0
879	0
82	0
1	0
1	0
67	0
264	0
26	0
193	0
139	0
72	2
256	2
121	0
231	0
60	0
146	0
141	0
341	1
701	0
124	0
223	0
19	0
1247	0
35	0
52	0
22	0
432	0
236	0
20	0
1606	0
27030	277
2153	274
597	14
142	14
86	1
56	1
598	1
275	1
67	0
121	0
58	0
622	0
58	0
0	0
498	0
128	0
0	0
3	0
254	0
68	10
727	10
10	0
6	0
39	0
894	0
403	0
145	0
0	0
29	0
0	0
107	1
63	1
9	0
457	1
327	0
1275	4
894	4
1332	1
69	12
292	12
541	0
65	0
155	5
191	6
307	4
666	5
122	2
218	26
952	30
1260	32
261	67
749	96
2360	55
1657	16
3147	16
49	3
170	3
235	0
146	0
273	0
105	0
76	0
8	0
28	1
47	1
29	0
105	0
1531	0
13933	7
92	0
825	0
173	2
104	2
60947	251
11329	1
544	0
39	5
81	7
6253	46
330	41
423	3
298	16
