UniqueCount	AmbigCount
4152	39
262	7
543	7
173	11
2935	23
5031	28
1322	20
2704	16
7410	7
86	0
230	1
1481	0
590	8
904	8
1723	11
210	13
260	4
1808	4
7987	39
5342	140
7785	241
8539	131
3286	16
10609	16
424	4
529	4
777	1
1	0
4	0
0	1
0	1
4863	8
2	0
6	0
293	0
41	0
259	0
405	5
96	15
1539	10
60	2
38	2
67	4
33	8
97	6
122	2
690	0
700	0
726	5
254	5
293	0
5520	3
11770	45
21108	57
18	0
75	0
27	0
32	0
4	0
359	3
162	4
209	1
70	0
223	0
280	0
28493	13
501	1
33	4
69	4
1	0
808	5
255	10
252	10
809	6
201	1
90	0
452	1
7363	24
410	19
1664	13
965	34
505	39
335	33
299	19
678	6
2724	98
2658	109
5216	11
1616	21
657	23
7620	17
2773	66
4711	182
1270	126
2634	35
908	26
12	0
81	0
544	1
28859	15
1570	23
397	37
773	16
7730	400
7192	1156
10578	787
1546	12
627	12
829	0
130	0
21	0
86	0
11	0
11	0
38	0
54	0
102	0
1728	3
2078	91
561	92
1191	17
2290	34
1340	15
1526	21
1430	48
930	33
154	20
2152	20
147	1
196	1
0	0
0	0
20	0
155	2
5577	2
3	0
0	0
0	0
0	0
6	0
3	0
2	0
2	0
1653	1
142	5
109	9
301	6
13	4
229	13
208	12
656	5
169	3
274	4
144	0
243	0
254	0
62	0
3471	4
997	0
424	3
477	6
578	25
751	35
327	16
36	2
339	4
1025	16
879	9
307	0
226	0
82	2
503	2
26	0
3	0
244	16
1623	17
137	0
11	0
21	0
12	1
9	0
1	0
2	0
0	0
0	0
78	0
0	0
2	0
106	0
13	0
354	0
11	0
0	0
0	0
2	1
3	3
8	2
3269	6
2355	7
316	6
598	12
1601	9
1091	1
289	17
2994	45
1101	82
1175	55
149	1
259	1
1466	3
473	0
75	0
8583	11
1267	1
104	0
619	2
474	7
532	0
78	0
87	5
155	5
80	3
58	3
2	0
22	0
524	8
3794	12
3228	3
254	1
140	0
185	14
22437	99
5853	77
1981	3
2393	36
364	55
5420	22
47	0
2687	3
15348	9
74	0
3235	1
0	0
15	0
100	3
90	3
257	0
131	2
271	4
0	2
9	2
99	0
643	1
6	0
2	0
364	1
610	1
4929	3
3121	5
189	10
1960	23
221	47
343	44
4845	19
648	46
580	43
1160	119
260	26
1355	23
803	0
759	1
430	1
7498	2
45	0
4581	48
618	116
8233	78
4552	4
878	8
444	18
871	32
426	24
7744	7
31375	24
1892	1
1834	11
1583	11
479	0
1558	1
538	1
305	0
180	1
994	1
6383	2
177	1
1530	1
216	0
5475	2
1629	0
28	1
127	2
96	1
478	0
3	0
17	0
39	0
201	0
698	0
11	0
2190	9
563	0
2030	0
45	0
237	3
748	3
2	0
7	0
9	0
50	0
13	0
24	0
4	1
91	1
17	0
93	0
1	0
10	0
25	0
18	0
27	0
99	0
14	0
1	0
1515	1
156	0
1	0
1	0
108	0
431	3
38	5
265	0
185	0
81	0
308	3
100	4
247	1
104	0
209	2
296	3
645	2
1025	0
179	0
418	0
24	0
1579	0
36	0
94	0
65	0
788	0
368	0
31	0
2495	0
33412	413
3058	396
962	28
238	26
154	0
88	0
1041	5
515	5
88	0
213	0
72	0
778	0
104	0
1	0
661	2
123	0
2	0
7	0
427	1
157	7
1085	7
28	0
13	0
46	0
1096	0
639	5
250	5
1	0
90	0
0	0
185	0
113	0
19	1
655	0
663	7
2207	15
1304	9
2470	1
124	15
425	15
863	0
151	0
243	5
304	6
409	11
1077	14
253	10
385	28
1048	36
1422	51
285	81
868	88
2619	49
2960	32
4461	37
47	1
237	1
371	0
265	0
362	3
183	1
108	1
18	0
40	0
60	0
47	1
183	1
2256	1
17167	7
138	0
1111	0
294	5
174	4
74863	323
12575	3
959	0
36	4
50	3
2298	23
132	19
552	0
371	24
411	32
2111	10
24	0
13	0
64	0
57	0
318	15
296	17
777	3
227	0
84	0
4489	122
8447	118
1403	0
275	0
9959	3
199	1
723	117
547	2
165	1
59	5
92	9
93	4
45	0
93	0
84	0
20	0
359	0
52	0
30	0
60	0
68	2
14	2
301	0
0	0
50	0
1241	1
15	1
185	0
184	0
679	0
7003	2
189	0
33166	298
983	1
1464	1
1681	34
562	38
1054	10
62	0
54	0
8	0
13	0
344	0
840	0
2249	58
6218	61
1252	0
14	0
3	0
1132	0
1597	0
119	0
130	0
36	0
1258	1
5	0
89	2
92	3
213	6
106	10
143	5
78	0
102	2
115	2
1127	1
519	3
1009	5
274	7
258	8
334	15
1224	34
691	23
7	0
61	0
153	1
64	0
53	0
626	10
451	11
1	0
9	0
11	0
2	0
9	0
349	0
10	0
3	0
71	0
0	0
3	0
0	0
0	0
0	0
19	0
30	4
6	4
8	0
1	0
0	0
17	0
4	0
12	0
13	0
29	0
190	11
89	18
156	7
31	3
55	3
31	0
8	0
1	1
1	1
0	0
2	0
2	0
2	0
7	0
4	3
1	3
427	1
8	0
0	0
3	0
0	0
0	0
3	0
46	0
267	7
28	7
88	0
14	0
0	0
355	1
10	0
8	0
7	0
1	0
0	0
2	1
1	1
8	0
15	0
7	1
0	1
0	0
0	9
0	0
144	0
11	0
2	0
824	1
82	0
7	0
3	0
0	0
8	0
1299	0
34	0
118	0
107	1
232	0
12	0
1282	3
6096	5
19	0
222	0
5	0
10	0
2232	0
148	0
232	0
7	0
0	0
0	0
1	0
1	0
11	0
18570	7
0	0
9	0
35	4
37	4
71	3
92	3
30	0
1373	0
149	0
18	0
183	0
125	5
159	8
89	2
25	2
19	2
10	0
0	0
0	0
5	1
5	1
5	0
1	0
15	0
1316	2
103	0
430	11
886	11
477	0
168	15
619	50
432	35
71	0
111	0
0	0
111	0
58394	22
224	3
314	3
37	1
22	0
202	0
842	2
54	0
9	0
200	0
518	0
753	14
1035	19
739	32
9877	47
1985	51
2365	48
276	5
188	6
255	1
49	1
206	0
6704	14
4374	18
39	0
3	0
8	0
13	0
52	0
2349	1
1268	0
660	0
1158	0
0	94
3	0
218	0
269	0
873	0
10	0
63	120
30	0
9	0
0	0
0	0
217	0
216	0
46	0
92	0
17	0
5	0
7	0
5	0
41	0
127	3
53	3
210	0
551	0
408	10
94	10
4	0
36	8
98	9
170	1
464	10
165	21
83	11
126	3
160	6
522	14
325	15
615	4
5520	461
28458	466
6702	826
17910	835
270	1
1285	2
1228	1
307	0
46	0
17	0
11	1
2	1
252	0
71	0
7948	20
16808	73
7515	264
18211	210
768	0
581	7
45	10
90	4
81	7
157	9
4	3
52	0
92	3
153	1
143	0
3346	2
213	6
260	17
193	11
173	0
1215	2
1071	11
266	10
624	45
1221	3
231	0
126	0
109	0
25	0
40	0
3	0
31	0
68	0
0	0
73	0
32	0
756	0
33	0
39	4
67	4
28	0
132	11
170	11
311	0
522	5
291	5
11	0
8	0
0	0
16	0
67	0
28	0
9	0
1604	3
15	0
113	0
76	0
128	1
88	1
2735	0
69	0
240	0
176	0
52	0
50	0
53	5
127	6
17	1
172	0
6	0
274	0
438	0
4291	2
76	0
498	0
453	0
183	0
509	0
26717	23
8535	4
50	0
613	0
24	0
381	0
101	1
155	1
177	0
1062	2
465	0
745	6
641	8
642	4
494	14
707	23
436	11
103	0
54	0
83	0
5	2
25	2
103	0
64	0
1264	0
18048	7
46	0
33	0
86	0
225	0
2752	2
474	7
214	7
881	0
247	0
866	0
1009	1
76	0
75	0
292	0
62	2
36	5
275	3
402	0
14	0
17	0
36	0
113	1
280	2
647	6
581	17
725	14
354	0
31	0
333	137
400	0
1820	32
1529	32
7763	1
2009	8
1037	8
6052	94
54119	120
6383	22
2423	22
120	0
948	5
792	15
880	21
