UniqueCount	AmbigCount
3291	57
144	5
444	5
113	6
1699	10
2932	6
826	6
1614	5
5372	4
61	0
181	0
1238	1
484	7
715	7
1011	3
110	6
116	3
1301	1
8521	24
5466	92
8264	138
8230	75
2666	12
9610	7
281	7
340	7
858	0
1	0
0	0
3	0
1	0
3955	0
0	0
7	0
226	0
44	0
184	0
295	4
55	4
1260	2
59	0
22	1
23	2
21	1
56	2
97	2
505	0
462	0
576	2
199	2
324	0
3032	2
9914	16
17840	20
15	0
61	0
10	4
41	4
5	0
281	1
97	4
199	3
54	0
158	0
189	0
18670	10
342	0
24	0
62	0
0	0
657	6
191	5
185	7
601	8
137	2
52	0
400	0
6055	13
235	13
1399	4
737	17
445	31
279	20
248	12
568	8
2241	63
1975	66
4235	8
1245	21
443	25
6169	18
1855	40
3839	85
1007	56
2144	14
648	12
11	0
33	0
376	0
16959	4
1312	13
310	19
483	6
6710	180
4726	539
8344	373
1050	2
396	1
624	0
109	0
11	0
78	0
11	0
5	0
34	0
38	0
35	0
1525	3
1445	57
527	55
1038	3
1971	11
1227	11
1416	21
1412	34
866	13
127	19
2080	19
108	0
162	0
0	0
0	0
14	0
110	0
3050	2
4	0
0	0
1	0
3	0
2	0
2	0
3	0
5	0
1165	3
77	3
57	5
195	2
11	5
217	5
143	1
524	1
131	3
213	2
106	0
136	0
181	0
30	0
3453	2
888	0
254	3
421	6
425	11
697	13
333	10
35	1
295	0
836	8
736	8
266	0
167	0
68	6
460	6
29	0
2	0
196	10
1323	10
130	0
1	0
16	0
8	0
4	0
0	0
0	0
0	0
0	0
58	0
0	0
2	0
75	0
12	0
241	3
8	0
0	0
1	0
3	0
3	0
0	0
2807	2
1918	0
259	2
444	3
1056	5
835	7
211	10
2699	16
952	44
1067	35
136	2
184	2
1265	2
396	0
53	0
6991	3
921	0
89	0
524	1
489	1
356	0
83	0
60	2
152	2
56	0
27	0
0	0
15	0
433	6
3085	8
2720	2
186	0
97	0
136	13
13754	50
3514	36
1924	1
2033	12
314	20
4231	9
30	1
2322	0
9422	9
47	0
2430	4
1	0
12	0
92	0
95	0
195	2
78	2
167	0
1	0
4	0
52	1
555	1
0	0
0	0
270	1
516	1
3672	1
2360	0
118	0
1354	9
176	24
241	22
3657	10
480	19
384	18
773	95
197	40
938	35
601	0
670	0
245	0
6554	1
26	0
3040	19
533	50
6308	31
3590	0
768	6
291	11
566	20
304	15
4514	0
23084	7
1251	0
1155	11
1310	11
313	0
1265	0
320	0
207	0
98	0
720	0
5564	1
139	0
851	1
157	1
4291	1
1245	0
23	0
89	0
61	2
327	2
5	0
8	1
35	1
103	0
531	0
9	0
2747	2
381	0
1540	2
37	2
106	1
576	1
1	0
2	0
15	0
38	0
19	0
12	2
2	2
96	0
12	0
92	0
2	0
9	1
19	1
10	0
12	0
101	0
6	0
0	0
1207	0
97	0
0	0
0	0
83	0
360	0
23	0
285	0
212	0
72	0
228	0
87	0
187	0
78	0
239	1
280	2
518	1
887	0
125	0
299	0
10	0
1241	0
25	0
53	0
38	0
592	1
230	0
22	0
1786	1
25784	225
2273	217
748	10
203	10
112	2
65	2
969	8
398	9
100	0
132	0
50	0
598	1
65	0
0	0
603	0
64	0
0	0
6	0
312	0
80	6
921	6
16	0
16	0
41	1
987	0
359	2
182	2
0	0
57	0
5	0
149	2
84	2
21	0
515	1
389	0
1559	2
1120	2
1565	0
61	6
308	6
624	0
116	0
172	5
205	11
331	13
855	10
157	6
198	15
805	22
976	27
212	43
567	50
1968	25
1952	23
3679	22
52	1
209	2
275	1
164	0
228	0
119	0
70	0
4	0
16	3
53	3
28	0
115	0
1960	0
12865	3
81	0
738	0
150	1
102	1
48765	242
7485	1
663	0
26	0
45	0
1684	17
113	17
484	3
301	19
300	23
2037	9
20	0
13	0
69	0
43	0
233	1
231	5
603	3
185	0
53	0
3561	31
7413	34
1274	0
203	0
6960	4
124	0
500	123
400	1
148	1
25	1
37	3
54	2
45	0
58	0
55	0
11	0
318	0
28	0
20	0
61	0
42	0
19	0
233	0
0	0
29	0
741	0
6	0
96	0
126	0
520	0
5640	0
116	0
21034	231
536	0
983	0
1334	16
419	21
818	5
27	0
26	0
7	0
3	0
266	0
759	0
2094	39
5841	42
808	0
14	0
2	0
853	0
1089	0
88	0
94	0
18	0
794	1
3	0
78	2
68	2
126	3
82	7
102	5
112	3
101	2
97	0
810	0
398	0
695	3
189	6
141	3
213	6
