UniqueCount	AmbigCount
3950	51
54	2
269	2
57	0
437	2
629	4
291	3
574	1
1300	0
19	0
188	0
1133	1
350	1
380	1
237	6
34	9
54	3
1369	0
27393	120
17300	280
27958	375
24382	254
21899	109
78525	102
169	5
233	5
192	0
1	2
1	2
0	0
0	0
639	0
5	0
2	0
64	0
4	0
29	0
56	0
21	2
580	2
9	0
5	0
20	1
8	1
23	1
38	1
156	0
96	0
78	1
36	1
110	0
766	2
11168	26
20885	38
12	0
29	0
12	0
22	0
3	0
174	0
45	2
53	2
29	0
117	0
64	0
6416	4
229	0
9	0
38	0
0	0
342	3
135	5
119	4
440	2
80	0
51	0
125	0
2053	3
83	3
2243	14
1580	51
1052	75
713	58
710	50
1779	25
478	15
471	17
1333	9
588	12
149	8
2845	1
814	21
1831	57
417	33
1439	11
469	8
1	0
14	0
838	0
17020	6
399	4
104	7
273	5
899	32
550	74
1230	45
270	2
118	2
218	0
6	0
5	0
43	0
18	0
15	0
76	1
127	1
26	0
1767	2
418	21
198	20
283	2
549	2
444	1
539	9
450	14
322	11
85	15
1178	10
66	0
142	0
0	0
0	0
5	0
97	0
699	0
5	0
3	0
0	0
4	0
1	0
5	1
15	1
11	0
593	0
30	0
13	1
70	1
3	2
131	6
96	6
413	2
143	0
266	0
52	0
45	0
81	0
9	0
3408	1
455	6
135	9
381	3
363	5
522	10
240	6
14	0
116	4
574	6
431	2
156	0
203	0
22	0
208	0
17	0
3	0
20	1
254	1
136	0
3	0
8	0
3	0
1	0
0	0
1	0
0	0
0	0
8	0
0	0
0	0
8	0
8	0
57	0
3	0
0	0
0	0
1	0
1	0
0	0
541	0
1183	2
149	0
200	1
550	2
673	1
94	8
1472	18
287	33
296	23
33	3
69	3
490	2
81	0
847	0
9280	12
459	0
102	0
506	0
115	1
54	0
7	0
7	0
10	0
34	1
10	1
0	0
3	0
41	0
489	0
3004	0
137	0
72	0
65	0
4351	17
1795	14
306	0
761	3
91	10
1841	8
26	0
575	0
2299	1
10	0
1174	1
1	0
5	0
21	0
13	0
152	0
31	0
109	0
0	0
7	0
12	0
259	0
0	0
0	0
78	3
336	3
1109	0
1177	0
11	0
322	7
56	13
66	10
1601	9
227	22
161	14
262	40
141	10
554	10
307	0
282	0
60	0
2276	0
15	0
445	3
103	7
1117	5
679	1
632	5
290	14
569	14
289	5
382	1
6186	1
326	0
400	1
685	2
371	2
1521	4
91	0
147	0
25	0
209	0
20147	6
65	0
296	0
16	0
439	0
262	0
17	0
60	1
51	1
136	0
1	0
3	1
11	1
29	0
671	1
4	0
959	2
135	0
619	0
5	0
2	0
138	0
1	0
8	0
12	1
57	1
30	0
16	0
4	0
95	3
13	3
65	3
6	3
8	1
41	1
18	1
36	1
142	0
7	0
1	0
290	0
56	0
1	0
0	0
53	0
218	0
33	0
134	0
92	0
17	0
48	0
20	0
49	0
39	0
11	0
21	0
38	0
447	0
44	0
164	0
10	0
784	0
12	0
17	0
20	0
201	0
25	0
4	0
1018	0
10183	95
774	93
513	12
118	12
47	0
8	0
342	1
175	0
193	0
60	0
22	0
215	0
25	0
1	0
553	0
184	0
0	0
1	0
299	0
22	3
303	5
3	0
0	0
90	0
492	0
84	0
17	0
0	0
84	0
1	0
50	0
28	0
6	0
212	0
149	0
970	4
534	4
416	2
9	0
77	0
404	0
32	0
74	1
98	1
120	1
351	3
47	5
58	7
270	5
385	18
89	31
281	38
722	24
376	1
1257	1
12	1
144	1
192	0
94	0
170	0
107	0
46	0
3	0
5	0
31	0
14	0
79	0
466	2
18358	5
2	0
334	0
90	1
54	1
20296	113
2466	1
889	1
4	0
6	0
138	0
4	0
155	1
92	9
110	8
2040	0
0	0
8	0
8	0
11	0
53	3
53	5
249	2
301	0
98	0
1091	14
1784	14
651	0
113	0
1220	1
49	0
113	40
482	0
113	0
33	2
43	3
38	1
72	0
105	0
108	2
14	2
841	3
36	0
63	0
1049	17
1336	22
234	6
213	0
0	0
12	0
269	0
5	0
46	0
82	0
900	0
2525	3
186	0
13927	111
374	1
803	1
1002	16
285	19
422	3
7	0
6	0
2	0
4	0
296	0
305	0
2486	86
7988	86
454	0
6	0
0	0
1186	0
712	0
11	0
44	0
31	0
3608	1
3	0
1496	80
2092	89
3127	96
2855	158
3020	97
3694	124
4222	139
2463	42
800	0
579	2
1091	12
362	11
198	8
158	12
1128	19
667	12
4	0
90	2
279	3
35	0
22	0
238	6
106	6
9	0
28	0
0	0
0	0
11	1
90	0
5	0
0	0
44	0
0	0
4	0
1	0
0	0
2	0
3	0
12	0
3	0
8	0
1	0
0	0
19	0
2	0
9	0
3	0
8	0
192	5
81	6
146	1
21	5
49	0
34	0
23	0
1	1
5	1
0	0
5	0
28	0
3	0
8	4
5	5
8	1
89	0
6	0
0	0
13	0
5	2
2	2
3	0
3	0
37	0
2	0
18	0
6	0
0	0
205	0
37	0
2	0
10	0
1	0
1	0
7	0
0	0
5	0
8	0
0	0
0	0
6	0
0	5
1	0
92	0
10	0
12	0
944	1
12	0
3	0
1	0
0	0
1	0
388	0
18	0
48	0
42	0
36	0
5	0
360	3
2814	4
28	0
120	0
4099	0
2711	4
816	1
47	0
121	0
6	0
5	0
11	0
37	0
55	0
73	0
1423	0
0	0
454	9
1077	10
371	1
2792	27
4920	33
1406	2
355	0
93	0
4	0
143	4
126	1
153	0
81	0
7	0
10	0
2	0
0	0
70	2
229	20
55	18
94	0
57	0
267	0
783	0
18	0
322	8
702	8
365	1
17	0
73	1
60	1
45	0
80	0
0	0
71	0
32595	7
79	2
159	2
9	0
3	0
37	0
162	0
2	0
1	0
36	0
282	0
394	9
639	10
786	29
7058	31
1080	30
1678	30
211	5
112	4
206	0
30	0
105	0
1785	6
1233	7
2	0
0	0
4	0
1	0
75	0
652	0
129	0
79	0
994	0
0	69
2	0
12	0
15	0
354	0
1	0
44	40
18	0
28	0
0	0
0	0
31	0
169	0
29	0
100	0
42	0
2	0
12	0
2	0
9	0
40	0
20	0
71	0
92	0
60	2
12	2
0	0
1	0
9	0
12	0
375	0
109	4
51	4
24	0
18	0
143	5
74	4
150	0
1258	92
7455	95
1	0
11	0
68	4
320	3
103	0
51	0
24	0
38	0
34	0
5	0
18	0
3	0
2132	1
5781	18
2734	76
3835	64
333	1
835	2
55	14
276	13
426	8
781	15
50	9
92	0
13	0
68	0
38	0
1982	2
124	2
106	3
145	1
167	0
428	0
468	2
87	2
142	18
573	1
45	0
42	0
28	0
11	0
8	0
1	0
0	0
7	0
1	0
28	0
3	0
728	0
27	0
40	8
53	8
16	0
34	2
32	2
112	0
122	0
99	0
47	0
38	0
5	0
15	0
22	0
18	0
0	0
49	1
9	0
46	0
41	0
151	2
108	2
745	0
24	0
69	0
19	0
14	0
7	0
16	2
54	3
1	1
91	0
1	0
88	0
144	0
855	1
16	0
483	1
417	1
161	0
83	0
1047	0
1621	0
8	0
377	0
25	0
60	0
316	2
462	3
551	1
18	0
85	0
201	0
399	0
357	5
401	9
442	11
273	7
173	0
14	0
26	0
0	0
3	0
39	0
19	0
541	0
8	0
6	0
1	0
1543	25
3110	24
264	0
383	1
153	1
648	0
356	0
1878	0
163	0
13	0
17	0
142	0
12	1
26	6
207	5
68	0
1	0
6	0
5	0
26	4
102	4
85	1
129	13
150	12
134	0
20	0
60	47
204	0
166	1
140	1
2047	2
565	0
205	1
108	0
2066	1
1132	7
530	7
13	0
20043	171
16715	308
16063	337
19627	325
6412	164
6561	175
3331	155
3986	25
505	14
2637	19
1397	5
0	0
172	0
19	0
0	0
86	0
25	0
8	0
356	6
59	6
118	4
454	6
36	0
0	0
12	0
36	0
10	1
6	1
32	0
10	0
25	0
14	0
0	0
39	0
21	0
0	0
432	77
14	0
304	0
120	0
5	0
6	0
5	0
9	0
0	0
2	0
7	0
10	0
3	0
4	0
28	0
7	0
6	0
2236	0
4	0
2	0
0	0
8	0
7	0
22	0
49	0
53	0
5	0
10	0
10	0
2	0
3	0
18	0
4	0
1	0
8	0
1	0
5	0
2	0
18	0
3	0
26	0
0	0
10	0
2	0
2	0
1	0
4	0
90	0
1094	0
98	0
17	4
93	4
331	0
1222	14
937	28
1351	36
704	20
0	0
5	0
22	0
34	0
2357	0
76	0
13	0
15	0
1	0
4	0
7	0
257	0
10	0
11	0
183	0
103	0
79	0
40	0
14	0
267	0
9	2
43	2
94	0
14	0
232	1
44	1
129	0
13	0
53	0
2759	20
832	41
1693	21
25	0
361	0
260	0
181	0
432	2
457	6
867	4
1382	96
3200	115
1204	74
583	54
83	0
0	0
0	0
37	0
267	0
99	0
57	0
0	0
106	0
13	0
