UniqueCount	AmbigCount
2632	33
216	6
419	8
134	4
2306	19
4120	16
874	13
2330	13
4889	4
67	0
132	0
1136	0
376	6
842	5
831	8
184	18
382	14
1407	4
3735	11
2554	36
4283	64
4580	45
1876	11
6021	9
276	5
454	4
529	1
11	0
2	0
0	0
0	0
3844	3
3	0
6	0
168	0
75	0
176	0
406	9
50	19
1012	11
32	0
17	0
31	2
27	2
72	3
113	1
807	0
513	0
450	4
135	4
236	0
6549	4
10285	40
15431	44
50	0
114	0
30	4
38	4
6	0
385	8
170	5
246	1
35	1
155	0
227	0
19739	10
460	1
31	4
94	4
0	0
509	4
139	6
139	7
504	5
215	2
53	0
311	0
4881	17
522	6
1120	3
689	21
392	34
242	34
246	21
545	3
1650	64
1291	66
2798	6
815	21
471	27
4337	30
1757	46
2888	115
987	83
1899	26
667	19
12	1
32	1
399	0
27372	33
1044	13
362	21
621	9
5564	256
4841	627
6819	384
872	8
401	8
569	4
128	0
27	0
50	0
11	0
5	0
28	0
24	0
81	0
1188	0
1624	57
385	56
777	16
1280	22
820	7
845	12
881	14
594	7
105	18
1386	16
113	0
153	0
0	0
0	0
28	0
87	0
1645	1
0	0
1	0
0	0
3	0
1	0
1	0
1	0
0	0
1054	1
121	4
108	7
223	5
10	10
188	18
146	11
431	2
100	2
194	1
130	2
233	3
278	2
40	0
2374	0
613	0
411	9
395	12
451	12
473	12
240	5
44	2
337	1
772	3
617	1
191	0
238	0
61	4
371	4
14	2
1	2
186	17
1080	18
215	0
0	0
8	0
4	0
21	0
0	0
0	0
0	0
0	0
84	0
0	0
1	0
44	0
5	0
375	0
13	0
3	0
0	0
4	0
1	1
5	1
2135	2
1748	1
172	0
432	2
1239	6
811	5
264	7
2110	20
744	42
861	36
110	1
165	1
890	0
333	0
65	0
6932	5
785	4
87	0
466	0
440	0
761	0
298	1
215	5
298	4
66	1
57	1
3	0
22	0
409	0
2897	4
2660	5
182	1
79	1
137	4
19259	93
6765	78
1377	1
1809	9
309	32
4834	25
16	0
2425	1
14117	9
141	0
2844	4
1	0
25	0
69	5
78	5
170	1
110	1
172	0
0	0
5	0
81	1
467	1
5	0
3	0
263	0
622	0
3871	2
2658	2
136	8
1232	14
161	25
279	32
4103	28
593	45
1046	46
1550	128
199	33
1127	27
634	0
553	1
280	1
5460	3
17	0
3005	12
372	33
4747	25
2688	8
616	6
290	11
564	23
286	16
6713	9
25362	26
1822	2
1440	5
1358	5
342	0
1043	4
569	0
263	0
167	0
755	0
5388	5
135	0
966	1
196	0
4190	4
1340	0
21	1
90	1
119	0
338	0
3	1
9	1
54	0
158	0
955	0
5	0
2284	8
519	0
1680	1
62	0
289	3
595	3
0	0
1	0
6	0
17	0
4	0
15	0
0	0
47	1
10	1
47	0
0	1
5	4
4	3
4	0
15	2
59	2
0	0
1	0
1530	0
236	0
1	0
0	0
103	0
288	0
20	0
248	0
181	0
63	0
180	6
72	7
173	1
81	0
75	0
153	1
297	1
702	0
145	0
238	0
22	0
1344	0
21	0
46	0
41	0
574	0
811	0
40	0
1645	1
33563	410
2670	382
743	13
222	13
156	0
73	0
730	0
462	0
107	0
120	0
60	0
647	0
116	0
1	0
452	0
144	0
0	0
5	0
336	0
188	10
938	10
28	0
8	0
41	1
967	0
463	1
345	2
0	0
38	0
2	0
128	1
51	1
25	0
893	0
482	3
1368	10
814	8
2152	6
174	15
468	15
777	0
77	0
154	1
167	3
289	4
715	4
229	4
305	21
789	26
1114	31
358	38
912	66
2798	51
2739	19
3221	17
33	4
215	4
293	0
487	0
403	3
249	3
112	3
11	0
21	4
59	4
33	1
170	1
1624	8
15706	23
196	0
1028	0
189	1
177	1
66561	250
13416	3
747	2
35	3
79	7
4789	30
191	23
465	1
415	23
290	31
1929	10
95	0
8	0
42	0
33	0
203	3
208	3
695	0
254	0
55	0
2848	62
6011	73
939	1
230	0
8435	3
202	0
550	108
405	0
95	0
72	1
281	11
297	10
37	0
43	0
43	0
19	0
233	0
60	0
35	0
60	1
45	3
31	0
232	0
0	0
39	0
1277	2
11	1
301	0
171	0
484	0
5556	9
189	2
24774	208
960	7
1484	8
1388	20
446	35
799	16
42	0
42	0
1	1
10	1
207	0
522	0
1868	49
5085	59
1455	1
7	0
4	0
900	2
1480	3
47	2
136	2
122	2
2102	1
2	0
58	1
36	2
151	3
57	2
91	1
51	2
74	4
110	3
1194	1
368	0
543	2
153	3
210	2
330	4
541	15
428	12
2	0
32	0
106	0
52	0
44	0
616	2
402	2
1	0
2	0
23	0
0	0
3	0
342	0
4	0
2	0
104	0
3	0
2	0
1	0
0	0
1	0
10	0
12	0
3	0
4	0
1	0
0	0
14	0
1	0
10	0
23	0
37	0
134	10
58	15
94	5
11	3
35	2
16	2
5	2
0	0
0	0
0	0
0	0
0	0
0	0
7	0
6	0
1	0
352	2
1	0
0	0
2	0
2	0
3	0
1	0
62	0
164	0
18	0
92	0
11	0
0	0
293	0
17	0
1	0
2	0
0	0
1	0
1	0
4	0
3	0
26	0
3	0
0	0
0	0
0	9
0	0
101	0
26	0
3	1
664	3
67	0
6	0
5	0
0	0
1	0
1143	0
30	0
117	0
102	0
249	0
3	0
998	7
5870	7
32	0
201	1
2	0
3	0
1534	2
103	0
176	0
4	0
1	0
0	0
5	0
6	0
5	0
24555	17
0	0
8	0
35	0
28	0
77	0
103	0
24	0
1045	0
93	0
5	0
111	1
101	5
82	5
55	0
26	0
27	1
10	1
0	0
1	0
11	0
4	0
9	0
3	0
6	0
918	1
123	0
302	18
962	19
312	0
186	26
761	55
1011	29
78	0
128	0
0	0
96	0
68452	43
252	10
414	9
17	0
8	0
131	1
542	0
143	0
16	0
146	2
381	1
446	6
607	4
389	12
6776	13
1555	29
1683	29
180	7
147	7
199	0
83	0
172	0
5762	28
3485	30
27	1
1	1
9	0
15	0
35	0
1961	3
1147	0
601	0
1201	0
0	47
3	0
98	0
189	0
554	1
15	0
45	120
28	0
25	0
0	0
1	0
275	0
195	0
35	0
73	0
41	0
4	0
9	2
7	1
22	1
100	3
49	2
144	0
449	1
324	8
49	8
2	0
40	4
59	6
117	2
313	17
181	18
135	2
89	1
151	7
395	8
287	6
538	4
5368	412
33622	427
7452	478
11066	478
338	5
1010	6
822	0
321	0
21	3
9	0
6	0
6	0
204	0
429	0
7305	20
15534	52
6717	196
19763	162
559	0
354	0
31	4
91	4
47	2
116	2
15	0
50	0
87	1
96	1
166	0
2764	4
129	2
261	3
110	2
123	1
1032	4
849	9
206	7
477	41
801	2
145	0
64	0
75	0
24	1
33	1
1	0
30	3
65	3
0	0
51	0
36	0
579	0
11	0
18	3
51	3
24	0
174	8
204	8
213	0
468	2
268	1
9	0
8	0
0	0
16	0
39	0
34	0
17	0
1369	3
12	0
86	0
67	0
75	0
52	0
2443	0
86	0
186	0
130	2
101	5
83	3
18	3
64	3
25	0
134	0
2	0
200	0
330	0
3057	2
166	0
241	4
274	4
143	0
45	0
33012	29
6888	7
43	0
475	0
79	0
360	0
70	0
108	0
141	0
2599	1
491	0
543	1
830	1
806	6
449	10
704	7
391	2
76	0
39	3
84	0
12	0
18	0
82	2
47	2
947	2
3773	3
16	0
16	0
70	1
223	1
2448	0
376	3
175	2
1028	2
276	0
778	0
797	1
50	2
59	2
253	0
83	0
34	4
256	4
393	0
9	0
37	0
24	0
56	0
219	2
359	4
410	10
765	10
519	1
17	0
300	137
359	2
1722	55
1841	58
7978	11
1294	11
771	11
3771	98
28900	120
3488	19
1267	14
158	0
438	1
433	3
509	7
364	9
284	6
166	3
64	5
88	4
777	21
2997	28
715	5
1	0
287	0
70	0
4	0
193	1
74	0
35	0
1063	22
480	22
414	2
438	2
127	0
0	0
18	0
35	0
18	1
11	1
27	0
17	0
14	0
6	0
0	0
16	0
3	0
0	0
19	6
13	0
2719	3
1855	2
111	7
105	11
79	5
109	1
6	0
18	0
35	0
29	0
8	0
3	0
6	0
4	0
2	0
2236	2
27	0
10	0
0	0
3	0
18	2
25	4
166	11
285	8
4	0
0	0
3	0
2	0
2	0
3	0
2	0
0	0
3	0
2	0
0	0
2	0
15	0
4	0
88	0
0	0
8	0
5	0
3	0
2	0
8	0
136	1
9086	4
329	2
120	19
511	19
360	0
1732	26
1390	42
2955	56
1269	38
2	0
33	0
33	0
79	0
6621	5
56	8
69	10
76	2
10	3
23	3
60	0
644	1
48	0
13	0
109	0
158	1
45	1
60	1
55	1
589	0
20	0
67	1
52	3
53	2
353	5
241	5
68	0
11	0
139	0
2765	16
935	33
1635	18
46	0
223	3
188	3
241	3
650	8
1601	25
1950	20
3376	168
5241	223
4527	182
1420	124
25	0
0	0
0	0
38	0
579	0
123	0
83	0
0	0
138	0
2	0
16	0
0	0
61	0
83	0
42	0
293	0
514	0
848	23
473	22
5	0
107	0
43	0
631	1
533	0
80	0
131	0
128	0
102	0
136	0
7	0
46	0
5	0
175	0
40	0
54	0
16	0
839	1
10	3
22	2
30	0
101	2
17	2
68	0
480	0
291	0
1976	1
16	0
5	0
3	0
0	0
1	0
42	0
9	0
23	0
82	0
86	24
91	24
1289	0
3	0
3918	5
37	1
31	1
7	0
499	0
1282	3
428	2
20	0
3795	2
355	0
387	0
3116	3
437	5
234	6
3006	11
2446	10
82	0
1378	2
770	0
186	1
430	3
624	1
64	1
35	0
328	0
144	0
5	0
13	0
311	0
14	0
9	0
12	0
3	0
6	0
6	0
4	0
3	10
3	0
10	0
35	0
10	0
21	0
5	0
10	0
864	0
55	3
153	3
45	0
21	0
16	0
108	0
611	4
31	10
58	7
374	0
1	0
116	0
43	0
32	0
75	0
1329	1
550	2
232	0
555	1
212	0
2	0
495	14
353	14
570	1
226	1
0	0
1664	4
1181	0
9	0
303	4
349	4
889	0
10	0
163	1
266	0
1474	0
6	0
75	2
12	1
261	0
1911	2
109	0
964	5
600	5
21	0
149	0
301	0
1021	39
1519	52
270	72
1071	66
707	11
2645	12
3904	5
14	0
7	0
3	0
2	0
126	0
423	0
779	1
317	0
4	0
3	0
91	0
459	0
503	42
3573	60
3384	100
716	81
416	1
1046	1
35	0
16	0
22	0
171	0
121	0
0	0
2389	2
225	0
5035	4
28	0
245	1
29	0
206	1
10	0
2	0
3	0
3	0
5	0
3	0
7	0
98	1
406	3
181	0
930	1
12	0
36	0
14	0
1	0
0	0
506	0
1243	14
253	13
533	0
10	0
90	14
1260	14
121	0
2268	2
5	0
5	1
3	1
1	0
0	0
7	0
6	0
1392	24
695	23
141	1
1034	2
192	4
275	2
228	2
102	0
13209	117
10109	121
905	6
0	0
566	0
22	0
17	0
80	0
59	0
0	0
0	0
899	1
48	0
49	0
20	0
0	0
0	0
0	0
161	1
303	1
428	2
324	0
29	0
5	0
1	0
1	0
1	0
98	3
98	9
47	6
5	0
4	0
19	0
3	0
4	0
130	0
295	0
98	0
327	0
4	0
57	0
87	0
385	8
123	8
564	1
2283	2
3093	3
143	0
41	0
631	0
3326	5
524	5
131	6
183	0
142	0
20	0
213	0
51	0
10	1
62	1
52	0
101	0
14	0
257	0
87	0
763	0
401	0
516	0
905	3
7	0
3	0
1	0
30	0
0	0
1	0
6	0
25	0
24	1
75	1
280	0
21	0
1	0
519	1
83	0
8	0
5	3
7	3
0	0
9	0
72	0
5	0
13	0
6	0
2	0
1	0
0	0
63	6
19	6
0	17
1	0
0	0
283	0
0	0
112	8
19	7
614	3
46	3
283	1
215	8
163	7
173	0
9	0
20	0
22	0
281	1
50	0
21	0
1129	24
908	23
5	1
3	0
8	0
0	0
2	0
579	0
2535	9
655	9
269	2
61	2
312	1
344	0
12595	8
260	2
504	1
823	0
312	0
200	0
143	0
16	0
164	0
118	0
124	0
74	0
1475	1
38	0
74	0
1260	12
1253	13
358	58
4563	80
794	31
101	9
2927	2
194	3
708	3
311	0
94	0
1047	0
13	0
11	0
20	0
9	0
2	0
25	0
9	0
18	0
2	0
10	0
4265	69
5719	108
3853	41
263	0
4	1
2	1
1398	2
697	4
1025	4
756	1
115	7
445	8
446	1
80	0
44	0
11	0
12	0
0	0
138	0
2463	45
1390	50
1290	11
1	0
12	0
691	2
186	0
0	0
372	0
230	3
306	3
0	0
1	0
8	0
769	1
339	0
91	0
481	0
501	15
2245	20
836	4
0	0
1067	5
544	9
440	7
30	0
0	0
0	0
3	0
10	0
2	0
17	0
10	0
69	0
31	0
39	0
19	0
3	0
3	0
0	0
2	0
7	0
0	0
397	0
9	0
6444	52
1497	53
1709	39
579	44
61	6
2485	17
1059	21
202	6
417	4
245	5
216	13
96	12
1	0
13022	19
3	0
14050	193
2775	174
9214	8
322	7
130	8
131	1
519	0
157	2
136	2
15	1
119	2
68	1
0	0
81	0
18	0
1684	6
457	5
2120	3
15377	13
1752	13
2498	13
84	0
0	0
201	0
46	0
1101	1
0	0
3	0
0	0
173	1
90	1
2309	3
244	7
89	8
8158	96
5872	90
21	0
66	1
0	0
722	4
296	3
26	1
425	0
63	2
12	0
193	0
14	0
17	1
58	1
30	0
249	0
666	0
258	0
128	0
109	1
2	0
2221	0
273	0
27	0
273	0
1650	0
423	0
247	0
412	15
3599	18
213	5
196	5
41	0
34	0
6	0
5	0
8074	1
547	0
676	0
638	1
0	0
108	0
658	0
4	0
55	0
3053	1
494	1
349	13
334	12
213	0
3604	2
22	0
189	0
105	3
184	3
219	1
72	1
51	2
53	2
423	0
169	0
400	0
3389	4
7023	6
204	0
267	5
374	25
1025	49
100	30
32	0
12	0
9	0
10	0
91	2
230	2
87	48
1	0
10	0
178	0
208	7
285	8
680	3
3406	29
282	18
671	1
0	0
0	0
20	0
15	0
5	0
4	0
53	0
97	0
164	0
8	0
379	0
177	1
1481	49
1139	61
437	19
41	0
1006	1
163	4
199	4
222	1
1462	1
564	10
921	20
228	14
492	4
2239	31
267	43
565	16
523	17
697	13
532	1
2057	0
21	0
34	0
10	0
91	3
21	3
6	0
0	0
2369	4
74	2
147	2
284	0
61	0
102	0
218	3
81	3
371	3
108	3
1139	0
291	0
90	0
158	0
158	0
22	0
3612	6
798	2
1008	87
457	112
965	44
1281	24
347	7
294	0
11481	26
413	16
61	0
13	0
75	0
264	1
91	1
112	0
607	11
337	13
559	3
382	2
2	0
1	0
2	0
202	0
168	2
136	9
