UniqueCount	AmbigCount
5072	61
62	2
288	3
50	3
481	4
695	3
320	3
654	2
2560	0
40	0
260	1
1266	0
458	11
696	10
375	6
40	9
82	5
2547	2
38645	125
21863	368
34983	483
29985	272
27205	118
100734	111
177	1
258	1
391	0
4	0
3	0
0	0
0	0
1082	0
12	0
10	0
92	0
21	0
90	0
83	0
25	0
790	0
14	0
18	0
21	1
12	3
28	2
43	0
271	0
162	0
143	0
54	0
199	0
960	3
16523	42
31263	43
19	0
47	0
23	1
23	1
0	0
224	0
67	1
98	1
34	0
158	0
129	0
12028	2
329	0
21	0
46	0
0	0
253	2
97	5
109	5
388	3
124	2
51	0
183	1
2744	1
124	0
3786	7
2497	53
1514	101
1187	87
1080	50
2594	20
659	22
626	23
1632	5
640	14
190	19
2709	14
963	15
1969	49
643	37
1364	7
417	7
4	0
32	0
820	0
27730	5
606	5
173	10
390	5
1942	67
1138	169
2774	105
439	4
187	4
238	0
21	0
11	0
46	0
21	0
12	1
78	1
109	0
24	0
2218	0
815	20
322	20
475	2
888	4
713	2
803	10
636	14
447	5
132	17
1752	17
96	0
167	0
0	0
0	0
11	0
88	0
964	0
6	0
2	0
1	0
2	0
3	0
6	0
10	0
24	0
1288	2
85	1
25	0
79	0
9	0
211	9
140	12
505	2
149	0
297	0
40	0
127	0
127	0
21	0
5262	1
491	0
155	3
312	3
337	20
537	32
249	12
21	0
152	2
683	4
533	2
208	0
249	0
37	0
280	2
30	3
3	3
53	1
348	0
147	0
5	0
3	1
4	0
0	0
0	0
1	0
0	0
0	0
26	0
0	0
0	0
19	0
11	0
120	0
5	0
2	0
0	0
0	0
1	0
4	0
979	1
1839	1
124	2
242	4
517	3
594	3
112	6
1428	11
380	37
464	30
34	0
76	0
1060	0
129	0
2109	1
9045	1
732	0
109	0
674	0
171	0
104	0
4	0
2	0
7	0
35	2
22	2
0	0
0	0
59	0
645	0
5806	1
216	1
84	1
103	8
6800	34
2537	26
540	0
1026	6
137	13
2435	7
29	0
1285	0
5875	2
16	0
1371	0
0	0
6	0
27	0
24	0
199	0
43	0
90	0
3	0
7	0
16	0
323	0
3	0
1	0
204	0
625	0
1561	0
1307	0
29	2
515	4
80	6
98	5
2009	3
273	5
178	3
284	69
136	13
616	13
467	0
575	0
79	1
3290	1
23	0
697	4
125	14
1592	12
955	0
811	3
296	9
538	21
414	15
594	1
7013	0
414	0
728	3
1210	5
484	0
1936	0
156	0
203	0
48	0
359	0
37193	16
133	0
600	1
50	0
648	0
308	0
13	1
84	2
72	1
150	0
3	0
4	1
12	1
38	0
1499	0
7	0
2272	0
171	1
766	0
7	0
6	1
236	1
0	0
0	0
1	0
5	4
10	4
1	0
1	0
36	0
3	0
19	0
2	0
1	0
3	0
6	0
11	0
36	0
9	0
0	0
672	0
83	0
1	0
0	0
101	0
212	0
22	0
205	0
190	0
13	0
59	0
21	0
54	0
68	0
18	0
27	0
60	0
955	0
94	0
222	0
11	0
1142	0
45	0
23	0
24	0
346	0
49	0
9	0
1035	0
10802	71
892	71
632	18
154	18
130	0
38	0
652	0
298	0
380	0
105	0
48	0
296	1
34	0
7	0
523	0
177	0
0	0
1	0
324	0
40	3
565	3
7	0
8	0
186	2
769	0
137	0
32	0
2	0
128	0
3	0
42	0
58	1
8	0
410	0
159	0
1044	5
577	5
494	0
16	1
128	1
642	0
59	0
98	1
113	1
169	0
411	3
65	4
66	7
295	7
492	18
86	29
357	27
939	15
585	5
1843	5
28	1
148	4
253	2
178	0
427	0
199	0
119	0
11	0
26	0
29	0
26	0
93	0
578	0
19001	3
10	0
313	0
128	0
106	0
37696	157
4141	0
1165	0
4	0
1	0
129	1
1	1
153	1
114	7
149	10
2505	7
0	0
6	0
14	0
19	0
58	3
74	7
286	4
371	0
133	0
1349	23
2428	24
634	0
148	0
2183	0
83	2
177	60
787	3
134	0
75	3
72	6
56	3
100	0
126	0
161	2
23	0
1093	0
71	0
77	0
1343	12
1419	19
340	7
279	0
0	0
24	0
726	0
15	0
72	0
171	0
1214	0
3146	0
206	0
24363	159
486	0
1053	1
1229	19
309	30
574	11
11	0
13	0
7	0
4	0
419	0
576	0
3838	104
11618	104
609	0
14	0
1	0
1774	0
944	0
20	0
95	0
53	0
9184	3
1	0
729	14
1001	18
1623	40
1678	71
1647	49
1744	60
1947	63
1484	14
920	0
513	2
731	3
231	2
122	1
121	4
853	27
533	22
9	0
162	4
484	4
67	0
37	0
357	7
249	7
5	0
4	0
1	0
3	0
6	0
199	0
4	0
0	0
140	0
0	0
0	0
0	0
3	0
2	0
5	0
5	0
4	0
5	0
1	0
0	0
9	0
2	0
5	0
2	0
9	0
212	23
115	25
194	2
18	8
40	4
18	2
14	0
0	0
1	0
0	0
5	0
10	0
1	0
1	0
2	0
2	0
112	0
4	4
0	4
9	0
0	0
1	0
3	0
