UniqueCount	AmbigCount
3291	47
58	2
226	2
36	1
369	4
666	3
259	0
644	0
1330	0
23	0
242	0
1069	0
428	0
604	0
251	5
36	6
55	1
2121	1
30400	70
18250	164
30093	217
25151	131
25081	81
91825	86
125	0
218	0
283	0
11	0
4	0
1	0
4	0
590	1
19	0
4	0
75	0
33	0
48	0
48	0
21	0
528	0
6	0
9	0
22	0
8	0
34	0
50	0
212	0
115	1
87	1
35	1
191	0
632	0
6697	15
12748	12
10	0
33	0
13	0
22	0
0	0
159	0
58	0
85	0
32	0
135	0
111	0
6117	0
226	0
5	0
25	0
0	0
330	0
119	3
133	4
457	1
171	0
54	0
119	0
2017	3
127	2
2734	11
2010	39
1204	63
914	51
849	25
2055	9
588	12
541	11
1284	1
613	5
223	4
2890	0
930	6
2007	31
680	23
1436	9
551	9
3	0
34	0
581	0
17702	5
380	2
135	2
323	0
1145	22
726	80
1825	58
269	1
133	2
241	0
24	0
42	0
28	0
24	0
18	0
101	1
134	1
23	0
1797	1
545	20
220	19
311	2
538	4
518	2
540	2
457	7
338	6
75	10
1415	11
78	2
201	2
0	0
2	0
10	0
85	0
593	1
38	0
9	0
5	0
38	0
21	0
42	1
51	1
51	0
649	1
58	1
14	0
58	1
6	2
140	4
89	3
453	0
170	1
303	1
45	0
108	1
141	1
7	0
4144	2
571	0
161	2
323	3
396	3
525	8
293	6
39	0
169	0
576	4
522	4
159	0
308	0
16	1
234	1
25	1
0	1
35	2
228	2
157	0
3	0
2	0
8	0
0	0
0	0
0	0
0	0
0	0
18	0
1	0
2	0
7	0
8	0
44	0
5	0
2	0
0	0
0	0
0	0
1	0
554	2
1524	1
103	3
199	3
601	1
597	0
97	2
1168	4
372	14
306	12
36	2
65	2
528	0
73	0
1116	0
10762	5
460	0
70	0
523	0
147	1
79	0
5	0
5	0
8	0
34	0
13	0
0	0
1	0
29	0
344	0
2643	0
102	0
48	0
46	1
3145	7
1199	6
327	0
735	0
102	7
2204	7
24	0
906	0
3015	0
23	0
1200	0
2	0
16	0
20	0
4	0
154	0
46	0
104	0
1	1
13	1
18	0
289	0
3	0
0	0
143	0
426	0
1083	0
936	0
23	1
273	1
46	5
63	5
1293	3
185	7
188	8
299	60
114	7
581	3
438	2
435	3
62	0
2165	0
23	0
457	0
98	2
859	2
578	0
685	1
334	3
569	19
306	15
352	0
5759	3
443	0
557	1
814	1
361	1
1379	1
146	0
207	0
25	0
247	0
22786	6
101	0
360	0
31	0
374	0
206	0
16	0
83	0
70	0
100	0
1	0
2	0
14	0
32	0
1250	0
5	0
1809	0
154	0
553	0
10	0
3	0
205	0
1	0
0	0
5	1
33	1
7	0
10	0
3	0
54	0
4	0
46	0
4	0
6	0
15	0
6	0
17	0
112	0
11	0
0	0
551	0
90	0
0	0
0	0
84	0
166	0
14	0
149	1
108	0
8	0
24	0
11	0
15	0
51	0
9	0
16	0
38	0
747	2
87	0
170	0
29	0
817	0
27	0
38	0
18	0
219	0
39	0
5	0
971	0
15034	86
1301	84
495	5
126	5
119	0
20	0
370	1
204	1
338	1
56	0
37	0
249	0
11	0
7	0
579	0
223	0
0	0
1	0
323	0
31	3
344	3
9	0
3	0
139	1
524	0
94	0
21	0
1	0
77	0
13	0
38	0
25	0
13	0
312	1
108	1
913	1
490	0
411	0
19	1
101	1
639	0
37	0
83	0
73	0
127	4
289	5
71	2
50	8
213	7
354	10
91	11
254	13
744	11
380	4
1161	5
17	2
102	2
252	0
158	0
395	0
182	0
81	0
9	0
9	0
32	0
20	0
104	0
545	0
17689	2
5	0
337	1
91	0
74	0
15006	85
1759	1
1017	0
2	0
2	0
71	1
2	1
162	2
114	4
138	6
2107	3
0	0
8	0
14	0
16	0
55	0
90	1
326	1
364	0
126	0
943	7
1775	7
591	0
139	0
1305	0
58	0
173	48
563	0
96	0
12	1
21	2
25	1
86	0
96	0
135	0
28	0
948	0
159	0
83	0
1384	13
1477	23
433	11
273	0
0	0
11	0
376	0
4	0
62	0
121	0
700	0
2420	0
228	1
12391	88
208	0
602	0
1370	7
373	11
586	4
14	0
13	0
0	0
6	0
280	0
440	0
3345	39
10444	39
607	0
4	0
1	0
1298	1
802	1
23	0
86	0
29	0
5066	0
0	0
1284	24
1863	34
3732	63
3268	97
3337	60
3284	77
3452	84
2862	26
734	0
647	1
989	4
352	5
228	1
217	2
1111	12
574	9
3	0
113	0
242	0
36	0
32	0
232	1
165	1
6	0
8	0
0	0
0	0
13	0
100	0
4	0
0	0
110	0
0	0
3	0
1	0
2	0
0	0
4	0
6	0
0	0
5	0
0	0
1	0
10	0
2	0
7	0
7	0
13	0
131	3
59	3
145	0
11	0
30	0
20	0
15	0
0	0
2	0
0	0
2	0
8	0
2	0
3	0
1	0
2	0
101	0
4	0
0	0
5	0
3	0
0	0
2	0
2	0
36	0
1	0
50	0
11	0
0	0
310	0
14	1
1	1
6	0
1	0
0	0
2	0
0	0
3	0
7	0
1	0
0	0
2	0
0	13
0	0
83	0
15	0
6	0
807	0
9	0
6	0
1	0
0	0
7	0
326	0
39	0
47	0
31	0
64	0
7	0
431	1
2513	1
23	0
112	0
1697	3
1144	3
544	0
62	0
212	0
3	0
1	0
3	0
24	0
29	0
57	0
1294	0
0	0
187	3
371	4
130	1
2659	18
4704	17
1345	2
531	0
67	0
3	0
173	5
177	5
187	0
98	0
15	0
11	0
