UniqueCount	AmbigCount
5208	63
103	7
434	7
81	5
558	9
969	5
363	6
806	5
2432	0
29	0
305	0
1417	0
495	12
766	11
275	5
33	6
51	4
2032	4
42280	155
27309	475
42482	678
37013	394
34365	179
109339	164
209	3
272	3
375	0
5	0
1	0
1	0
1	0
714	0
4	0
9	0
110	0
31	0
88	0
118	2
31	6
926	5
18	0
18	1
20	2
19	1
32	1
55	1
311	0
141	0
168	0
49	0
159	0
828	0
17391	67
28335	63
21	1
66	1
28	2
31	2
3	0
196	2
55	2
92	0
48	0
184	0
102	0
4981	0
132	0
21	0
38	0
0	0
439	0
138	2
189	3
583	4
165	2
59	0
230	0
3416	3
109	1
4329	25
3091	77
1863	104
1449	95
1287	71
3169	25
891	32
991	35
1952	8
943	19
310	23
3874	14
1371	26
2563	81
737	59
1687	26
617	19
6	0
31	0
851	0
14847	3
704	5
233	12
461	8
1837	66
1410	171
2727	108
435	3
251	1
354	1
13	0
12	0
42	0
23	0
15	1
121	1
126	0
29	0
2302	1
792	31
240	30
500	13
934	14
725	1
856	14
693	26
573	17
107	18
1831	14
133	1
241	1
0	0
3	0
12	0
155	0
1196	0
5	0
2	0
0	0
3	0
4	2
6	2
10	0
7	0
966	2
74	0
41	0
103	0
6	2
236	6
148	6
690	2
183	1
367	1
45	0
115	0
142	0
9	0
4399	3
686	2
227	5
427	3
527	32
727	40
385	12
31	3
224	1
834	4
656	2
201	0
372	0
51	0
300	0
23	0
1	0
51	2
375	2
194	0
2	0
11	0
12	0
0	0
0	0
1	0
0	0
0	0
13	0
0	0
1	0
17	0
11	0
124	0
7	0
2	0
0	0
1	0
1	0
3	0
939	1
1831	0
152	0
290	4
851	6
807	2
132	13
1656	19
409	36
433	31
60	5
111	5
927	0
89	0
1533	0
12440	7
566	0
98	0
766	4
159	6
73	0
12	0
11	0
9	0
39	0
24	0
0	0
3	0
80	0
639	0
4340	0
260	0
107	0
82	2
2510	9
775	6
589	0
1285	13
168	23
3029	10
43	0
989	0
2285	1
20	0
1383	0
0	0
8	0
47	0
17	0
224	0
70	0
156	0
1	0
5	0
41	1
414	2
3	0
1	0
265	0
629	0
1417	1
1356	1
25	1
431	4
67	7
89	8
1885	6
254	9
251	11
336	63
150	25
704	22
522	1
507	4
60	0
3416	3
8	0
897	2
185	10
2033	8
1153	0
1132	17
512	17
834	26
460	25
450	0
7149	8
574	0
806	4
1056	4
644	1
2049	0
200	0
217	0
39	0
394	0
33452	8
139	0
351	0
66	0
739	0
416	0
24	2
111	3
62	1
152	0
8	0
6	0
12	0
66	0
1482	0
2	0
1504	1
196	0
814	0
9	0
11	0
184	1
1	0
3	0
4	0
19	0
8	0
6	0
1	0
46	0
6	0
31	0
4	0
5	0
14	0
3	0
13	0
65	0
3	0
0	0
667	4
97	0
2	0
0	0
106	0
275	0
34	0
186	0
169	0
18	0
88	0
22	0
70	0
83	0
18	0
19	0
56	0
784	1
117	0
252	0
21	0
1159	0
18	0
15	0
27	0
319	0
56	0
9	0
1477	1
13119	146
1126	142
798	16
220	16
119	0
23	0
750	4
324	4
386	0
136	0
52	0
354	0
37	0
0	0
564	0
208	0
0	0
0	0
371	0
51	1
636	1
5	0
6	0
172	0
859	0
161	0
28	0
0	0
122	0
2	0
81	2
52	2
9	0
400	0
240	1
1330	11
611	9
707	0
25	8
130	8
795	0
79	0
126	0
165	3
218	4
473	3
122	2
89	11
353	11
547	26
136	55
413	51
1063	21
660	6
1790	6
28	2
170	2
281	1
114	0
342	0
245	0
106	0
3	0
14	1
34	1
37	1
121	1
