UniqueCount	AmbigCount
6151	74
154	3
550	3
143	8
550	9
948	7
406	2
1051	1
2194	3
30	0
461	0
1134	1
762	9
819	9
589	3
80	3
93	0
1942	0
34013	86
23913	443
31349	710
28786	394
40913	111
80473	85
290	5
508	5
634	0
16	0
7	0
4	0
7	0
1019	0
48	0
23	0
64	0
51	0
100	0
141	1
62	6
844	5
25	0
12	0
31	0
20	0
31	1
66	1
405	0
273	0
201	3
97	3
230	1
1076	0
9982	39
16553	41
28	0
37	0
26	0
24	0
2	0
256	0
97	0
111	1
87	0
342	0
81	0
10633	1
130	0
25	0
69	0
0	0
603	4
217	9
194	10
892	5
217	0
84	0
201	1
2752	5
238	4
2798	16
2384	71
1173	93
1158	74
1182	49
2415	14
902	29
1025	31
1752	5
920	15
317	17
3729	11
1453	20
2370	89
1038	76
1482	17
787	15
5	0
46	0
683	0
17621	8
888	3
243	12
548	9
1528	67
1284	245
4007	177
319	0
199	0
350	0
39	0
42	0
89	0
35	0
20	1
96	1
126	0
47	0
2499	1
676	16
253	15
532	7
675	10
407	3
426	8
526	18
536	14
136	36
1385	33
140	1
349	1
0	0
2	0
3	0
151	1
1113	1
96	0
9	0
2	1
32	1
30	0
26	2
80	2
127	0
1476	0
104	0
21	2
80	2
11	1
267	3
147	2
790	2
178	3
494	1
79	0
134	0
187	0
24	0
8699	1
655	2
230	2
390	6
622	15
699	21
393	10
22	0
259	2
959	2
546	0
232	0
583	0
57	2
383	2
37	0
3	0
80	2
408	2
308	0
2	0
16	0
14	0
5	0
0	0
2	0
0	0
0	0
27	0
1	0
0	0
30	0
14	0
185	0
7	1
10	0
1	0
0	0
5	1
1	1
750	0
1723	1
144	0
324	3
1027	4
891	4
146	12
1441	25
499	54
498	39
73	0
157	0
1138	1
165	0
2015	0
8016	0
824	0
114	0
595	0
227	0
103	0
6	0
4	0
11	0
47	0
24	0
3	0
8	0
79	3
717	3
3962	1
275	1
92	1
140	2
4026	30
1215	28
645	0
1220	5
177	17
2999	14
31	0
1665	0
4860	2
12	0
1614	0
0	0
35	0
30	1
20	1
152	0
86	0
244	0
3	0
24	0
56	0
343	0
3	0
0	0
298	1
693	1
1536	0
1218	0
37	1
448	2
75	10
107	14
1762	11
444	19
232	16
549	120
197	27
1083	24
780	0
898	3
136	0
3449	0
43	0
976	6
143	7
1486	1
843	0
1054	6
516	11
968	43
534	38
482	1
7121	1
812	0
1105	6
1064	6
745	0
2618	0
281	0
218	0
46	1
363	2
34378	3
172	0
841	0
80	0
890	0
394	0
28	5
148	15
111	10
261	0
2	0
13	0
11	0
66	0
1272	0
12	0
1181	6
254	0
914	2
20	0
4	0
187	0
0	0
2	0
4	1
32	1
20	0
17	0
2	0
53	3
11	3
50	0
4	0
8	0
19	2
3	2
22	0
113	0
24	0
1	0
635	0
125	0
5	0
1	0
213	0
263	0
49	0
191	0
186	0
3	0
39	1
17	2
43	1
72	0
24	0
30	0
61	0
803	0
136	0
361	0
27	0
1030	0
30	0
18	0
41	0
564	0
73	0
7	0
1721	0
12695	179
1889	179
839	18
232	18
149	0
29	0
648	0
383	0
532	1
147	0
38	0
315	0
38	0
4	0
800	0
217	0
0	0
6	0
525	1
41	8
597	8
6	0
4	0
182	2
563	0
239	0
37	0
0	0
223	0
20	0
87	0
79	0
9	0
489	0
256	0
1490	7
933	7
828	0
22	0
119	0
1030	0
106	0
133	3
143	3
242	0
617	8
131	8
85	11
305	11
489	14
99	29
445	31
734	17
729	5
1524	7
40	6
190	7
277	1
259	0
402	0
302	1
116	1
11	0
21	0
55	0
62	0
157	0
840	0
23249	1
12	0
492	0
229	3
127	1
15769	69
1941	0
1919	0
4	0
1	0
68	0
3	0
160	0
132	4
176	9
2273	6
1	0
26	0
14	0
36	0
116	4
138	5
552	1
586	0
213	0
1732	31
2393	31
944	3
203	0
2466	0
99	0
330	110
584	0
189	0
45	0
50	3
82	3
87	0
119	0
136	1
27	1
1042	0
257	0
89	0
1793	29
1581	65
769	36
530	0
0	0
25	0
454	0
8	0
133	0
298	0
1768	0
3409	0
248	0
11710	69
278	0
685	0
1783	23
334	26
745	3
24	0
31	0
6	0
4	0
471	0
603	0
4800	81
10463	81
1008	0
7	0
1	0
1490	0
1271	0
29	0
107	0
92	0
6989	1
2	0
2436	118
3295	128
6778	145
5488	246
5637	163
4157	154
3511	125
3049	25
856	0
647	5
1581	13
482	14
238	8
125	7
988	26
718	21
7	0
157	2
496	2
72	0
58	0
367	9
219	8
11	1
9	1
0	0
1	2
21	2
207	0
10	0
3	0
170	0
0	0
0	0
0	0
1	0
4	2
20	2
9	0
4	0
2	0
0	0
1	0
16	0
4	0
14	0
8	0
15	0
282	15
140	27
389	12
15	1
41	1
28	0
21	0
3	0
2	0
0	0
5	2
13	2
2	0
2	0
4	0
0	0
231	0
5	0
1	0
5	0
1	0
0	0
4	0
3	0
56	0
4	0
55	0
17	0
0	0
216	0
19	0
3	0
4	0
3	0
0	0
1	0
1	0
2	0
8	0
0	0
2	0
0	2
0	26
0	0
121	0
37	0
12	0
1684	0
11	0
9	0
2	0
0	0
24	0
401	0
61	0
99	0
72	0
117	0
8	0
861	2
3822	2
39	0
245	0
717	0
439	1
629	0
61	0
263	0
34	0
9	0
8	0
64	0
39	0
46	0
1689	0
1	0
147	0
249	1
137	1
5208	49
5554	54
1732	6
666	0
122	0
8	0
394	9
309	9
285	0
161	0
11	1
16	1
4	0
0	0
43	0
211	14
38	14
96	0
26	0
220	0
798	0
24	0
499	23
1019	23
694	0
45	1
216	6
134	5
61	0
123	0
0	0
156	0
21949	6
186	3
226	3
30	0
12	0
77	0
245	0
3	0
5	0
113	2
552	0
601	7
962	10
1080	59
9380	57
2306	39
3362	40
310	7
180	7
333	1
35	1
225	0
1864	5
1489	5
1	0
0	0
0	0
3	0
156	0
1186	1
277	0
111	0
1363	0
0	103
0	0
23	0
31	0
517	0
6	0
94	103
45	0
68	0
0	0
0	0
67	0
221	0
52	0
120	0
27	0
9	0
14	0
