UniqueCount	AmbigCount
2342	39
200	4
321	5
123	2
2240	13
3600	12
798	11
1976	8
4315	5
86	0
95	0
983	0
348	5
689	5
726	5
142	9
447	6
1284	2
2820	8
1967	13
2953	32
3296	28
1376	2
4667	1
222	0
402	0
459	3
7	0
1	0
0	0
0	0
3378	3
0	0
13	0
174	0
75	0
186	0
364	0
39	3
851	3
40	0
12	1
37	1
24	0
43	4
92	5
849	0
423	0
411	0
145	0
168	0
5977	2
8960	28
14324	20
47	0
85	0
30	2
40	2
2	0
298	1
139	4
164	3
35	0
150	0
170	0
17369	4
337	0
28	3
58	3
0	0
398	4
106	3
108	2
477	4
210	2
38	0
269	0
3934	8
475	5
745	2
432	15
251	14
158	8
165	9
333	1
1285	28
1000	27
2532	7
692	12
308	18
3354	23
1384	25
2368	60
823	41
1556	13
586	12
15	2
56	2
311	0
24839	11
775	6
311	13
513	7
5612	175
4999	461
7042	294
719	1
368	1
484	0
158	0
24	0
33	0
9	0
3	0
28	1
27	1
100	0
997	2
1452	39
337	39
461	6
857	10
439	5
466	6
414	8
280	4
41	7
695	8
81	0
112	0
0	0
0	0
16	0
72	0
2260	1
5	0
1	0
0	0
4	0
3	0
3	0
2	0
2	0
908	2
114	1
114	4
188	5
20	2
134	1
119	1
279	0
73	0
133	0
109	0
242	0
255	0
41	0
2206	1
496	1
392	4
302	7
349	7
391	3
183	0
58	2
311	6
575	7
504	2
166	1
203	0
48	0
271	0
12	0
0	0
149	8
1054	8
212	0
2	0
9	0
12	0
5	0
1	0
2	0
0	0
0	0
91	0
6	0
3	0
65	0
16	0
355	0
21	0
0	0
0	0
1	0
3	0
8	0
1779	4
1502	4
152	2
360	4
956	2
564	3
213	6
1630	16
678	36
657	27
61	2
102	1
763	0
234	0
76	0
6546	2
681	0
72	1
345	4
381	3
697	0
301	0
217	9
264	9
58	2
64	2
0	0
13	0
298	0
2406	0
2121	0
122	1
74	1
104	2
16789	75
5905	60
1309	5
1469	9
206	27
4027	20
17	0
1989	1
14707	6
102	0
2319	0
0	0
12	0
58	0
65	0
175	4
115	3
132	0
0	0
6	0
75	0
388	0
4	0
3	0
261	1
548	1
3229	4
2137	0
136	0
988	8
162	13
205	16
3285	17
492	34
930	30
1376	156
178	20
896	19
498	0
470	1
259	1
4340	1
11	0
2787	7
341	20
4025	17
2423	3
491	3
268	11
485	15
254	8
5914	6
22330	13
1775	0
1406	9
1206	10
252	0
816	1
495	1
248	0
176	0
674	0
4531	1
113	0
901	0
222	0
3520	4
1432	4
11	0
86	0
104	0
345	0
7	0
21	0
35	0
130	0
786	0
8	0
2384	11
387	1
1487	3
43	3
314	4
510	4
0	0
4	0
5	1
17	1
4	0
10	0
0	0
37	0
12	0
57	0
0	0
1	0
5	0
4	0
13	1
50	1
3	0
0	0
1303	1
188	0
0	0
6	0
136	0
228	4
28	2
142	0
191	0
56	0
224	1
85	2
135	1
63	0
110	5
183	5
330	0
695	0
128	1
224	0
33	0
1217	2
27	0
40	0
43	0
479	0
870	2
44	0
1611	2
27941	209
2304	198
674	6
181	6
162	1
49	1
588	4
351	1
83	0
106	0
55	0
523	0
96	0
2	0
376	0
152	0
0	0
4	0
309	0
225	9
802	9
20	0
17	0
45	0
884	1
457	0
338	0
0	0
38	0
2	0
135	4
53	4
18	0
893	4
527	4
1156	5
719	6
2109	0
173	15
471	15
611	1
58	0
129	3
124	3
233	2
648	8
192	7
318	14
660	15
1007	22
261	32
768	54
2668	41
2552	20
2857	19
27	2
161	2
216	0
531	0
433	0
215	9
91	9
9	0
16	0
37	0
31	0
154	0
1295	0
13181	12
171	0
1029	0
171	0
153	0
56813	259
12110	7
637	0
52	3
92	3
5552	12
232	11
347	0
365	11
260	14
1535	2
159	0
12	0
36	0
34	0
170	5
193	7
587	2
177	2
48	0
2429	28
5362	30
821	0
151	1
7785	5
211	2
454	123
315	7
70	3
118	3
357	13
351	9
25	0
55	0
61	0
21	0
204	0
60	0
26	0
51	3
30	3
20	0
213	0
0	0
68	0
1326	0
4	0
401	0
169	0
387	0
4327	4
168	0
21035	246
747	4
1280	2
1092	10
375	12
659	2
32	0
44	0
1	0
2	0
179	0
488	2
1303	20
3965	20
1252	0
10	0
7	0
685	0
1254	2
71	0
138	0
171	0
2159	2
13	0
43	3
31	3
97	3
66	3
50	0
44	0
51	0
83	0
1042	0
283	1
493	1
142	4
239	4
311	4
504	12
373	9
2	0
26	0
98	0
41	0
31	0
608	4
369	4
0	0
2	0
26	0
0	0
7	1
310	0
15	0
0	0
105	0
1	0
0	0
0	0
0	0
3	0
17	1
12	1
1	0
4	0
0	0
0	0
8	0
1	0
2	0
10	0
31	0
117	3
52	6
72	3
9	4
32	0
15	0
6	0
1	0
1	0
0	0
0	0
3	0
0	0
0	0
7	0
0	0
433	0
2	0
0	0
3	0
2	0
0	0
8	0
57	0
119	2
14	2
107	0
21	0
0	0
229	0
16	0
1	0
5	0
0	0
0	0
2	0
0	0
6	0
11	0
3	0
5	0
0	0
0	7
1	0
105	0
29	0
3	0
624	0
59	0
1	0
4	0
0	0
5	0
977	0
32	0
111	0
92	0
202	0
3	0
913	2
5358	1
44	0
201	0
1	0
2	0
1433	0
102	0
210	0
6	0
2	0
0	1
0	0
2	0
9	0
22634	10
0	0
9	0
28	0
18	0
40	3
105	3
31	0
1005	1
100	0
16	0
107	2
77	4
95	2
67	0
29	0
30	0
9	0
0	0
0	0
7	0
0	0
11	0
4	0
6	0
821	1
113	0
337	5
1004	5
377	0
162	15
581	33
840	18
69	0
76	0
0	0
97	0
57364	28
255	6
373	6
13	0
11	0
135	0
550	0
175	0
9	0
112	0
371	0
363	1
521	1
316	6
5656	8
1362	12
1391	13
127	4
98	3
158	0
88	0
136	0
5177	22
3222	20
53	1
6	1
13	0
12	0
27	0
1694	2
1042	2
561	0
1245	0
0	91
2	0
94	1
160	1
640	0
9	0
25	97
33	0
26	0
0	0
1	0
281	0
144	0
42	0
54	0
36	0
5	0
4	0
1	0
34	0
107	1
35	1
97	0
385	0
308	7
44	7
3	0
59	4
68	11
126	7
152	1
83	5
114	4
70	2
139	4
304	8
312	11
466	6
4928	221
30290	235
7311	251
9305	249
295	4
935	3
