UniqueCount	AmbigCount
2690	36
147	2
365	2
111	8
2093	19
3747	13
857	11
2029	9
5426	4
73	0
116	0
1243	1
425	9
834	9
1038	5
180	7
281	3
1617	3
3748	8
2665	41
4158	67
4588	35
1586	9
6330	7
273	3
421	3
637	3
10	0
4	0
0	0
2	0
4800	2
1	0
6	0
163	0
63	0
239	0
307	8
60	14
1061	7
33	1
15	1
28	0
30	0
69	6
116	6
783	0
423	0
485	5
185	5
269	0
6196	1
10135	30
16748	39
43	0
98	0
37	1
28	1
4	0
338	5
158	8
206	3
38	0
155	0
181	0
21579	16
516	0
30	3
67	3
0	0
496	2
149	7
166	10
569	6
237	1
53	0
333	1
5208	16
353	13
1148	1
651	10
365	13
158	8
215	7
494	2
1664	41
1258	44
2987	7
916	12
429	22
4316	19
1731	41
3198	105
1034	71
1943	11
725	6
7	0
37	0
403	0
29239	17
1087	17
327	20
564	5
6241	270
5252	637
7832	370
887	4
422	6
602	3
127	0
24	0
41	0
9	0
5	0
22	0
44	0
89	0
1219	1
1359	48
406	48
673	9
1154	14
756	4
705	11
697	18
460	10
83	12
1213	10
93	0
158	0
0	0
0	0
26	0
101	0
2186	2
2	0
0	0
0	0
1	0
3	0
1	0
2	0
3	0
1228	2
121	6
82	7
189	4
10	3
149	9
135	8
406	1
92	1
163	1
131	0
211	0
230	0
48	2
2937	4
645	1
278	4
335	8
374	20
481	16
254	1
32	0
280	7
716	9
654	2
210	0
211	0
60	1
328	1
12	1
3	1
181	14
1094	14
196	0
2	0
6	0
18	0
14	0
0	0
1	0
0	0
0	0
98	0
0	0
1	0
51	0
19	0
368	0
5	0
0	0
1	0
1	0
3	0
3	0
2384	5
1973	4
214	1
452	1
997	2
763	3
246	12
2192	20
789	57
876	47
83	3
132	3
1039	1
359	0
64	0
7451	4
761	0
76	1
452	2
491	2
610	0
249	3
134	10
272	7
55	1
52	1
0	0
23	0
421	3
3061	3
2666	1
162	0
58	0
106	3
22062	80
7138	70
1589	0
1898	12
337	44
4481	34
23	0
2861	3
16303	11
70	0
2827	1
1	0
21	0
63	1
71	1
187	0
104	2
210	2
1	0
11	0
65	0
482	1
8	0
5	0
294	1
581	4
4280	1
2544	2
150	3
1376	21
175	35
289	23
4053	15
598	32
692	26
1240	119
235	20
1063	18
582	1
592	2
347	1
5619	5
14	0
2796	12
376	45
4828	38
2816	3
576	2
243	10
584	22
292	14
6977	7
27983	17
1542	2
1549	9
1344	12
341	0
1145	0
539	0
277	0
203	0
756	0
5747	0
156	0
1113	0
202	0
4405	0
1486	0
15	3
78	3
60	4
378	4
14	0
5	0
36	0
94	0
754	0
4	0
2744	5
466	0
1644	1
49	0
211	3
678	3
0	0
0	0
4	0
11	0
5	0
18	0
2	1
42	4
8	3
68	0
0	0
8	0
13	0
4	0
13	0
51	0
5	0
1	0
1426	0
126	0
2	0
4	0
96	0
315	1
20	1
212	0
177	1
53	0
206	2
104	2
196	0
99	0
155	4
169	6
360	0
786	0
153	0
278	1
9	0
1365	3
25	0
58	0
42	0
541	0
537	2
28	0
1816	1
31265	328
2448	311
727	13
197	12
140	1
72	1
757	2
374	1
105	1
106	2
50	0
683	0
88	0
0	0
500	0
136	0
1	0
7	0
406	0
146	10
792	10
17	0
8	0
30	0
1078	1
484	0
248	0
0	0
58	0
1	0
133	0
55	0
14	0
799	0
468	1
1401	5
957	4
2020	2
105	12
406	12
696	3
95	0
159	6
174	8
305	4
717	6
163	10
264	20
832	20
1139	29
352	56
839	75
2887	43
2170	14
3613	12
32	3
169	3
262	0
271	0
464	1
200	4
129	4
5	0
31	0
46	0
27	4
134	4
1650	2
15322	11
153	0
939	1
180	1
119	0
75264	295
13567	8
714	0
59	3
78	3
3305	27
147	26
444	0
321	16
302	20
1929	4
75	0
17	0
30	0
36	0
205	4
235	5
689	0
207	0
47	1
2966	48
6566	52
1024	0
201	0
9912	4
170	1
550	102
324	4
88	3
93	1
232	10
199	9
43	0
40	0
44	0
14	0
251	0
53	0
43	0
40	0
41	1
17	1
237	0
0	0
47	0
1459	0
13	0
177	0
157	0
519	0
5859	1
184	0
28272	258
973	3
1487	7
1265	25
434	40
725	15
34	1
33	0
2	0
6	0
214	1
573	2
1739	39
5399	39
1195	0
10	0
5	0
873	3
1245	0
85	0
138	0
53	0
1854	1
4	0
45	0
50	0
129	1
60	4
94	3
54	2
62	2
124	0
997	0
361	4
520	5
117	2
137	1
226	4
652	16
389	14
5	0
27	0
93	0
44	0
43	0
576	6
436	6
1	0
3	0
4	0
0	0
7	0
371	0
4	0
3	0
88	0
0	0
1	0
0	0
1	0
1	0
8	0
15	0
4	0
1	0
0	0
0	0
6	0
2	0
6	0
10	0
35	0
139	11
51	13
109	2
20	3
35	0
18	0
8	0
0	0
0	0
0	0
0	0
6	0
0	0
1	1
0	1
2	0
289	0
0	0
0	0
3	0
1	0
1	0
1	0
68	1
162	1
23	0
92	0
8	0
0	0
348	0
12	0
2	0
4	0
0	0
2	0
1	1
4	1
1	0
23	0
1	0
0	0
0	0
0	16
1	0
106	0
22	0
3	0
677	0
56	0
6	0
4	0
0	0
4	0
1074	2
39	0
127	0
73	0
206	0
6	0
1134	2
5997	7
36	0
142	0
6	0
8	0
1799	0
120	0
228	0
5	0
2	0
0	0
1	0
3	0
11	0
27614	20
0	0
7	0
21	0
20	0
48	2
82	0
40	0
1161	0
93	0
14	0
131	2
95	2
82	0
64	0
32	1
21	1
14	0
0	0
3	0
11	0
0	0
0	0
1	0
4	0
927	0
100	0
339	2
810	2
300	0
185	21
745	47
808	25
78	0
98	0
0	0
96	0
67172	26
271	3
355	5
20	0
10	0
146	0
610	2
83	0
0	0
144	0
440	1
431	5
608	6
443	14
6782	20
1343	24
1690	23
160	1
148	0
220	0
51	0
130	0
5776	21
3585	22
36	0
2	0
9	0
6	0
30	0
2173	0
