UniqueCount	AmbigCount
3560	23
206	5
748	5
215	15
2331	23
3689	14
931	28
2130	21
6334	4
99	0
224	0
1508	0
681	5
1156	5
2415	12
279	13
315	5
1530	6
4097	16
3656	100
5451	171
6387	99
3410	15
7505	12
508	10
555	10
1393	6
4	0
1	0
0	0
0	0
5737	2
2	0
6	0
141	0
48	0
310	0
351	2
84	23
1267	24
72	1
44	2
44	2
50	2
43	3
136	2
822	0
653	0
951	6
350	6
384	0
11012	5
12119	48
19174	55
122	0
115	0
30	5
20	6
7	0
400	3
184	10
300	7
86	0
254	0
158	0
40644	11
427	0
45	3
125	3
1	0
1003	3
239	9
316	14
1051	8
387	0
87	0
743	2
7101	14
257	5
944	6
651	29
252	28
219	14
268	10
456	2
2293	62
2540	65
3717	8
1477	12
551	16
7151	9
2704	45
3882	150
1580	116
2030	35
1019	28
17	0
100	0
402	0
33806	19
1722	13
466	46
822	34
6267	340
5775	1174
12876	842
1124	13
489	13
933	0
122	0
15	0
155	0
21	0
5	2
41	2
53	0
69	0
1740	1
970	43
281	42
1210	38
1470	42
622	4
529	13
602	34
573	22
123	14
936	14
137	0
193	0
0	0
0	0
16	0
184	0
6307	4
10	0
0	0
0	0
2	0
2	0
3	0
5	0
8	0
1784	0
162	1
56	2
220	1
9	3
284	8
140	4
594	1
89	4
249	6
189	0
163	0
216	1
80	0
4203	1
775	2
219	7
344	9
518	14
548	15
281	5
11	0
329	3
1242	10
610	7
299	0
316	0
112	3
544	3
33	3
4	3
238	19
1327	20
210	0
1	0
11	0
16	0
4	0
0	0
1	0
0	0
0	0
84	0
3	0
0	0
370	0
37	0
1602	0
8	0
3	0
1	0
1	0
5	0
7	0
2128	4
2732	1
331	1
667	9
1885	14
1306	5
334	20
2884	41
1284	93
1083	76
201	7
363	7
1685	2
661	0
73	0
8665	14
1375	2
97	0
479	0
1032	0
369	0
52	0
40	1
133	1
72	1
70	1
0	0
13	0
483	12
4129	12
2647	4
199	3
170	0
451	22
30517	224
10258	188
2122	1
3004	12
409	49
5530	38
19	0
5308	0
32517	24
51	0
3750	2
0	0
17	0
126	3
94	3
139	0
134	2
375	2
0	0
16	0
130	0
659	0
12	0
0	0
572	0
701	0
5415	1
2919	2
172	4
1834	18
341	69
339	65
4606	26
1377	53
550	39
1326	189
253	41
1507	40
787	3
1386	4
582	0
7415	10
45	0
4834	51
801	94
7175	46
4081	1
743	1
533	12
1018	48
456	38
6540	8
34004	20
1492	0
2549	6
1416	6
742	0
2091	0
656	0
294	0
127	0
856	1
5950	1
177	0
2012	0
213	0
6669	8
1819	0
30	9
120	13
73	4
501	0
9	1
14	2
30	1
114	0
544	0
13	0
1792	7
652	0
1623	2
71	1
66	3
681	3
0	0
3	0
1	0
7	0
4	0
8	0
2	0
23	0
14	0
83	0
4	0
3	0
10	0
6	0
4	0
55	0
3	0
0	0
1283	0
147	0
0	0
0	0
140	0
258	2
28	2
296	0
160	0
121	1
388	2
166	5
459	4
76	0
506	5
369	7
1024	2
624	0
187	0
405	0
40	0
1532	2
26	0
37	0
36	0
904	4
369	0
35	0
3364	0
32271	548
5350	534
986	20
274	20
166	0
114	0
942	3
587	3
66	0
132	0
41	0
866	0
150	0
0	0
880	1
299	0
0	0
9	0
461	0
57	9
1093	9
24	0
8	0
54	0
805	0
789	1
185	1
3	0
87	0
0	0
146	0
90	0
18	0
785	0
725	0
2321	7
1811	7
3018	0
74	9
367	9
912	0
230	0
293	4
366	9
484	8
1199	25
268	22
319	64
1111	65
1904	44
439	114
1640	133
2582	63
2672	25
4156	26
61	8
271	8
240	0
270	0
320	2
243	4
120	3
19	0
52	0
76	4
60	4
189	0
2056	0
23780	10
58	0
1268	1
384	4
192	4
82196	293
16419	5
1010	0
183	5
226	7
8086	45
279	39
403	1
309	11
404	31
1801	21
65	0
27	0
56	0
35	0
369	15
330	17
907	2
307	0
93	0
6030	169
8868	167
1484	0
311	0
14522	10
269	1
817	159
230	3
143	1
105	4
105	5
80	2
27	0
155	0
95	0
35	0
306	0
88	0
39	0
119	2
65	6
23	4
296	0
0	0
50	0
1288	0
16	0
206	0
286	0
1063	0
7219	6
176	0
29958	258
1595	10
2038	6
1873	34
410	36
855	5
30	0
63	0
4	0
4	0
361	0
732	0
1717	37
4321	37
1363	0
8	0
0	0
943	1
1526	3
141	1
137	1
50	0
1251	0
7	0
142	4
135	4
217	15
158	16
230	3
167	7
133	6
128	1
707	2
421	1
1034	10
203	11
134	1
101	4
889	17
580	13
0	0
49	0
173	0
77	0
38	0
471	4
560	4
2	0
4	0
3	0
0	0
5	1
284	0
13	0
1	0
57	0
0	0
3	0
0	0
2	0
2	0
8	1
25	1
12	2
9	2
1	0
0	0
15	0
2	0
6	0
12	0
26	0
214	11
67	23
168	12
27	5
42	2
30	0
12	0
2	0
1	0
0	0
0	0
6	0
0	1
8	2
4	1
3	0
455	0
2	0
0	0
2	0
1	0
0	0
2	0
43	0
273	1
21	1
92	0
12	0
0	0
282	0
9	0
11	0
3	0
0	0
1	0
1	0
7	0
9	0
13	0
3	0
0	0
0	0
0	5
0	0
87	0
12	0
1	0
1424	3
56	0
5	0
3	0
0	0
0	0
1430	0
35	0
135	0
129	0
205	0
5	0
1559	7
8461	8
9	0
210	0
1	0
6	0
2171	3
91	0
250	0
8	0
1	0
1	0
3	0
3	0
10	0
23330	19
0	0
7	0
26	0
22	0
61	0
64	0
22	0
1510	3
140	0
7	0
124	0
86	0
104	0
89	0
28	0
23	1
3	1
0	0
0	0
1	0
0	0
0	0
0	0
3	0
1190	0
102	0
737	16
1358	18
862	0
2978	162
12798	603
6314	442
84	0
106	0
0	0
176	0
113796	46
265	4
325	4
23	0
19	0
144	0
485	0
13	0
4	0
215	0
371	0
775	15
1187	16
627	53
8147	60
2050	51
2757	49
220	6
163	4
286	2
28	2
208	0
6840	21
5829	29
116	1
3	3
32	2
42	0
46	0
2375	2
1467	0
519	1
1494	0
0	43
1	0
112	0
206	0
1522	2
26	0
71	163
27	0
21	0
0	0
0	0
211	0
198	0
51	0
78	0
17	0
2	0
12	0
7	0
50	3
166	3
37	0
251	0
733	1
444	9
61	9
2	0
17	2
43	3
130	1
328	1
138	9
50	9
206	1
154	3
448	9
464	9
807	0
8920	1256
47981	1271
3467	539
14774	544
346	6
1425	6
1047	0
320	0
20	0
7	0
13	0
9	0
245	0
73	0
7255	5
15115	46
6664	192
18731	160
740	2
120	4
15	2
20	0
12	0
54	0
1	0
21	0
35	2
137	2
134	0
2693	0
230	4
207	11
192	9
117	2
981	1
994	6
283	8
675	44
1020	3
266	0
91	0
141	0
31	0
54	0
1	0
42	0
68	0
1	0
92	0
45	0
750	1
32	0
50	1
78	1
30	0
149	9
167	9
333	0
615	1
404	1
16	0
6	0
2	0
23	0
45	0
56	0
10	0
3256	4
17	0
172	1
80	0
82	0
81	0
3902	2
92	0
216	0
143	0
46	1
44	1
49	7
117	7
13	0
189	0
6	0
337	4
364	4
7033	5
69	0
640	0
479	0
250	0
598	0
26895	17
10314	0
49	0
724	1
27	0
330	1
199	0
190	0
192	0
507	0
596	0
824	1
876	4
600	20
588	20
643	12
393	9
108	0
101	0
157	0
11	0
25	0
167	0
27	0
1610	0
16354	8
27	0
51	0
95	0
184	0
2884	5
642	0
354	0
1175	1
273	1
1171	0
1812	0
83	0
86	0
301	0
22	0
29	5
185	5
449	0
2	0
8	0
17	0
93	3
350	3
1021	0
900	28
1325	30
536	0
33	0
453	203
373	0
3082	77
2254	75
8917	3
1958	9
1162	9
5637	38
27937	54
5955	30
2714	23
51	0
920	4
785	23
1078	25
826	10
386	6
279	3
165	5
137	3
1163	30
3690	37
1431	7
0	0
353	0
109	1
2	0
420	1
107	0
22	0
1929	36
443	35
277	7
851	7
279	1
2	0
7	0
33	0
16	4
13	4
29	0
14	0
5	0
6	0
0	0
10	0
13	0
0	0
21	3
3	0
3036	10
2351	9
137	7
96	7
84	3
88	2
12	0
29	0
40	0
28	0
6	2
12	2
6	0
4	0
0	0
1873	0
21	0
22	0
0	0
14	0
32	4
61	4
272	4
335	4
5	0
7	0
0	0
0	0
1	0
1	0
0	0
1	0
3	0
3	0
2	0
0	0
13	0
7	0
206	0
4	0
8	1
15	1
9	0
1	0
9	0
214	1
10725	7
346	2
