UniqueCount	AmbigCount
979	19
46	2
136	2
58	0
471	1
573	3
267	9
835	7
973	0
276	0
585	0
312	0
170	2
241	2
226	4
13	6
42	2
479	0
5715	18
4829	72
7695	113
7337	67
6001	25
16868	20
49	0
159	0
145	0
295	5
261	5
2353	224
4094	224
3630	1
4157	2
718	0
87269	8
406	1
30	0
154	0
25	0
507	0
49	0
16	0
25	1
29	3
37	2
84	0
183	0
238	0
81	0
15	0
62	0
485	0
490	1
707	1
86	0
46	0
22	3
16	3
10	0
561	4
142	6
162	2
36	0
147	0
107	0
36396	7
543	0
7	1
39	1
0	0
606	4
184	4
158	3
505	3
65	0
5253	2
168	0
1607	0
1880	0
3414	16
1784	51
1092	67
897	56
911	47
1959	23
530	20
475	21
878	0
358	3
163	4
1136	1
919	21
2019	45
468	24
809	0
215	0
3	0
43	0
251	0
52878	4
700	3
245	7
440	3
937	34
661	67
889	34
790	5
410	4
180	0
208	0
683	0
99	0
1425	15
942	28
2725	27
3116	14
44	0
3465	2
1597	50
396	48
421	16
1027	28
996	12
920	10
1009	21
638	11
94	11
1392	11
144	0
258	0
2	0
24	1
54	1
39	0
1310	2
1897	19
296	26
132	21
677	14
341	7
290	13
1657	17
1707	11
372	0
86	3
138	7
264	5
22	4
193	5
183	2
692	0
163	0
269	0
32	0
55	0
71	0
84	0
3119	0
272	0
124	0
179	0
215	4
363	10
133	8
199	2
342	2
724	6
431	5
132	0
186	0
49	1
285	1
334	7
43	7
405	89
234	5
354	5
36	0
57	1
66	1
13	0
2	0
137	0
1	0
0	0
64	0
6	0
3	0
15	0
13	0
38	0
2	0
892	89
1	0
3	1
27	1
8	0
531	0
605	0
96	0
212	1
340	1
286	0
115	8
1418	11
259	19
288	16
77	1
163	1
414	0
450	0
16759	3
13991	0
1213	0
256	0
542	0
277	0
241	1
14	0
13	0
29	0
20	2
11	2
6	0
17	0
144	2
1157	4
3015	1
225	2
81	4
182	9
13624	57
3951	49
563	0
882	4
115	8
1442	4
83	0
1238	0
6011	2
15	0
2295	0
74	2
5774	2
31	1
27	1
116	2
37	2
97	0
29	5
310	5
37	1
253	1
26	0
8	0
103	0
382	0
587	0
2145	0
101	1
1487	8
199	24
315	20
4128	11
538	30
638	26
956	78
279	41
1035	37
286	0
262	1
224	0
2211	0
1269	0
1008	4
144	14
1612	11
1201	0
682	3
184	11
356	14
221	6
1442	0
5198	1
774	0
318	1
383	1
332	0
1026	0
60	0
120	0
34	0
163	0
18895	5
379	0
1063	0
148	0
884	0
141	0
13	0
34	0
39	0
233	0
13	1
21	1
13	0
16	0
187	0
918	0
827	1
499	0
205	0
2	0
13	0
57	0
5	0
17	0
36	10
216	14
123	4
170	1
7	1
380	3
52	3
246	0
40	4
60	5
160	3
81	2
163	1
749	3
54	2
6	0
147	0
55	0
4	0
4	0
66	0
256	2
30	2
285	0
101	0
29	1
177	4
77	3
73	0
51	0
26	0
24	0
68	0
419	0
113	0
137	0
10	0
652	3
140	0
368	0
63	0
182	0
98	0
90	0
2709	0
15155	117
1288	117
347	7
91	6
129	2
210	2
262	1
135	1
427	0
