UniqueCount	AmbigCount
575	8
27	0
83	0
30	1
375	3
641	3
225	7
650	8
1452	1
75	1
424	0
162	0
145	3
364	3
75	0
15	3
20	3
356	1
16509	88
10291	265
12257	317
10626	150
10322	70
23978	63
37	1
452	1
143	0
193	2
54	1
17	1
56	1
435	0
357	0
192	0
178	0
355	1
16	0
89	1
33	2
514	1
47	0
20	1
45	5
36	4
168	4
320	4
373	0
113	0
94	0
18	0
66	0
223	0
166	1
204	0
20	0
18	0
12	4
8	4
1	0
304	3
95	12
117	9
22	0
125	0
64	0
5017	4
204	0
10	2
34	2
0	0
575	5
144	12
135	13
420	5
71	3
161	0
133	0
1565	2
1174	4
1395	9
859	28
449	48
372	37
366	18
769	6
319	9
221	9
603	0
236	2
152	4
795	4
3297	65
5136	181
1244	112
1519	15
420	14
11	0
90	0
170	1
6674	4
763	11
197	16
331	9
489	20
569	72
748	51
513	1
414	1
112	0
234	0
530	0
57	0
548	0
288	4
815	6
903	2
45	0
2171	3
1289	32
241	29
825	18
1497	31
1377	14
887	12
894	23
466	9
81	9
1556	8
148	0
275	2
0	0
6	0
83	0
24	0
1618	2
785	12
186	14
80	11
328	10
404	6
285	14
938	16
1284	9
749	3
98	9
136	10
231	4
17	8
168	11
151	6
633	2
143	0
206	0
17	0
86	0
104	0
61	0
8970	0
510	3
271	8
340	13
436	19
548	17
340	6
134	1
310	3
772	4
520	3
159	0
284	0
39	1
166	2
378	10
37	10
57	13
195	0
311	1
14	0
29	1
21	1
0	0
0	0
32	1
0	0
0	0
43	0
5	0
0	0
7	0
3	0
20	0
4	0
110	13
1	0
16	0
43	6
39	6
650	0
564	0
97	0
209	10
413	12
250	3
72	2
885	3
166	13
223	13
36	3
119	3
560	0
402	0
9900	15
12925	12
255	1
34	1
474	2
274	2
187	0
6	0
6	0
4	0
7	0
13	0
4	0
38	0
96	6
955	7
1222	0
150	1
50	1
25	4
1115	10
467	7
362	0
530	5
59	10
1062	7
37	0
785	0
1329	0
4	0
1167	0
20	0
662	1
12	0
9	0
113	1
52	2
63	1
40	13
197	13
33	0
210	0
10	0
6	0
106	0
408	0
444	0
676	1
79	9
632	10
74	10
84	12
1669	7
372	13
465	20
746	123
136	16
601	10
204	0
186	0
456	1
2919	11
643	1
820	12
123	24
1247	15
844	1
617	3
138	4
229	8
237	6
1013	1
5294	7
854	2
232	4
337	5
314	0
788	1
50	0
81	1
31	0
88	0
19650	25
167	1
261	0
72	0
534	1
93	0
11	0
53	0
37	0
160	0
12	0
19	0
11	0
24	0
408	0
111	3
1042	11
380	0
144	0
3	0
4	0
106	0
2	0
8	0
12	0
38	0
19	0
23	0
0	0
60	1
7	1
39	1
11	2
7	2
26	1
7	0
23	0
160	2
11	2
2	0
201	0
52	0
1	1
0	1
58	0
192	1
8	1
194	0
104	0
49	1
187	0
71	0
54	0
20	0
21	0
19	0
46	0
255	0
132	0
92	1
4	0
358	0
66	0
210	1
27	0
144	0
71	0
52	0
1229	1
14492	170
1124	164
227	6
107	6
83	3
41	3
228	1
124	0
193	0
38	0
24	0
176	0
5	0
69	0
411	0
122	0
0	0
1	0
149	0
13	1
100	1
19	0
4	0
75	1
202	0
63	0
16	0
0	0
40	0
265	0
66	0
30	0
53	0
150	2
71	1
428	5
200	2
224	0
28	3
207	4
568	1
67	1
98	0
102	0
83	0
204	1
43	0
54	1
138	1
196	9
71	19
129	17
314	7
503	6
792	6
25	0
103	0
209	0
112	0
184	0
150	1
80	1
110	0
15	1
37	1
31	0
80	0
621	0
2607	4
14	0
210	0
94	1
112	1
6084	30
1879	2
621	0
8	0
2	0
67	1
6	1
138	0
113	4
65	5
2754	5
0	0
261	0
4	0
10	0
94	0
83	1
151	2
455	0
153	0
420	5
598	4
431	0
65	0
1387	0
44	0
110	67
202	1
36	1
20	0
34	0
10	0
159	0
21	0
10	0
9	0
381	1
2208	1
27	1
106	0
111	4
53	4
308	0
0	0
25	0
371	0
7	0
22	0
47	0
244	0
543	1
473	0
3891	32
219	2
511	2
215	1
90	1
216	0
9	0
5	0
6	0
6	0
172	0
210	0
3489	120
7155	119
576	0
11	1
12	1
2532	1
1576	0
185	2
234	2
40	0
2546	2
0	0
37	2
27	0
50	0
36	2
60	2
39	0
53	0
67	0
557	0
86	0
163	0
56	0
77	1
100	6
251	12
190	7
8	0
42	0
116	0
56	0
47	0
269	4
238	4
7	0
21	0
7	0
2	0
18	2
32	0
6	0
1	0
53	0
1	0
3	0
0	0
3	0
0	0
7	0
12	0
10	0
4	0
1	0
1	0
15	0
1	1
5	1
10	0
27	0
175	10
65	13
115	3
23	4
39	0
21	0
13	0
2	0
0	0
0	0
5	0
17	0
4	0
5	1
5	3
1	2
104	0
9	0
0	0
20	0
5	0
5	0
2	0
6	0
39	0
2	0
58	0
12	0
0	0
129	0
36	0
8	0
13	1
5	1
2	0
16	0
8	0
13	0
18	0
2	0
0	0
3	0
0	7
0	0
70	0
8	0
8	0
287	2
39	0
6	0
3	0
0	0
409	0
587	0
16	0
39	0
30	0
71	0
142	0
251	2
1552	3
46	0
177	0
22	0
23	0
59	1
55	0
85	0
7	0
1	0
5	1
30	1
22	0
25	0
3662	4
1	0
42	0
57	0
13	0
126	0
147	0
176	2
379	0
67	0
3	0
11	0
15	0
21	0
20	0
14	0
10	0
1	0
0	0
28	0
95	6
40	6
81	2
22	2
128	0
389	2
12	0
86	2
150	2
27	0
18	0
127	2
146	2
30	0
80	0
0	0
426	0
13679	9
166	2
308	2
34	0
21	0
55	0
164	0
2	0
73	0
196	0
69	0
566	9
579	11
534	26
4799	33
939	11
1118	8
148	4
114	4
145	1
33	1
60	0
706	3
361	3
7	0
4	0
0	0
4	0
59	0
805	1
163	0
80	0
179	0
0	15
7	0
2130	7
2191	9
55	0
46	0
30	83
15	0
29	0
0	0
0	0
15	0
119	0
29	0
57	0
13	3
23	0
22	1
7	1
23	0
45	0
8	0
31	0
111	1
91	1
67	5
52	4
9	0
31	0
77	1
497	7
336	12
66	4
12	6
108	10
297	8
231	8
354	6
570	51
3176	57
2634	223
5429	228
219	3
124	2
205	0
67	0
76	0
46	0
34	1
6	1
95	0
26	0
4607	15
15417	67
5021	182
10406	136
313	0
66	0
4	0
7	0
12	0
26	0
0	0
488	0
76	0
57	0
45	0
1434	0
61	0
102	0
58	1
48	1
75	0
91	2
30	1
89	20
205	1
39	0
48	2
116	1
7	0
11	0
266	0
7	0
7	0
0	0
22	2
3	0
326	0
17	0
13	0
28	0
18	0
42	0
58	0
35	0
115	2
68	3
59	0
32	0
1	0
11	0
11	0
7	0
1	0
119	0
199	0
62	0
41	0
244	4
138	4
138	0
92	0
219	0
143	0
242	0
237	0
40	1
105	1
20	0
129	1
27	0
67	0
93	0
379	0
1	0
147	3
119	2
37	0
2812	1
720	2
1992	4
36	0
221	0
33	0
109	0
30	0
36	2
36	2
120	0
87	0
133	0
234	0
290	1
203	3
226	5
136	3
71	0
8	0
49	0
68	2
222	2
8	0
10	0
389	0
9	0
2	0
0	0
39612	731
78030	754
798	3
205	2
82	2
844	0
300	0
614	1
88	0
29	0
30	0
149	0
18	0
13	2
178	2
73	2
2	0
16	0
4	0
33	0
105	0
141	2
167	8
241	6
241	0
8	0
122	123
187	0
129	4
95	3
1169	0
887	4
211	3
32	1
2005	2
362	4
197	4
38	0
139	2
142	3
154	7
168	6
41	0
53	3
10	4
28	1
104	2
386	2
129	0
0	0
562	0
629	0
20	0
55	0
203	0
17	0
92	2
50	2
79	6
159	6
10	0
0	0
11	0
28	0
5	1
5	1
16	0
19	0
6	0
8	0
1	0
27	0
25	1
1	0
11	2
9	0
1119	3
457	0
182	3
461	7
276	5
223	1
21	0
24	0
29	0
166	0
11	1
4	1
15	1
7	1
1	0
1431	0
43	0
83	0
0	0
11	0
25	2
99	2
142	10
236	10
29	0
42	0
23	2
8	2
9	1
38	1
3	0
12	0
9	0
14	0
5	0
8	0
22	0
7	0
28	0
21	0
186	3
51	3
1	0
206	3
413	3
491	0
1064	1
209	1
31	3
257	3
1815	6
1788	26
1888	49
3686	104
1612	75
227	0
3	0
2874	1
44	0
579	1
52	1
28	1
21	0
2	0
8	0
13	0
99	0
7	0
8	0
158	0
123	1
56	0
55	1
32	1
426	0
21	3
72	3
77	1
29	1
770	0
196	0
101	0
54	0
1120	0
384	1
142	7
285	6
28	0
722	2
292	1
88	0
124	1
210	3
343	2
57	6
112	6
92	2
23	2
1836	2
5	0
10	0
21	0
141	0
65	0
364	0
0	0
126	0
1	0
1	0
0	0
290	4
166	0
51	0
52	1
81	0
48	1
29	1
1	0
248	0
56	0
2034	5
716	6
0	0
236	1
59	5
46	5
271	0
26	0
3	0
2	0
58	0
13	0
43	0
35	0
4441	14
74	10
103	7
40	0
118	1
7	1
40	0
430	0
114	0
112	0
9	0
2	0
1	0
4	0
3	0
20	0
2	0
14	0
9	0
9	2
7	2
51	0
4	0
2345	1
25	0
25	0
23	0
68	0
124	1
50	0
11	0
1067	0
107	0
46	0
528	1
641	7
592	7
426	1
520	0
21	0
389	0
164	0
154	0
576	1
130	0
34	0
14	0
72	0
154	0
28	0
13	0
688	0
32	0
42	1
67	1
11	0
3	0
36	0
22	0
12	38
10	9
11	0
44	0
11	0
20	0
21	0
16	0
449	0
22	1
79	1
29	0
37	1
36	1
332	0
240	0
13	4
10	4
379	0
5	0
36	0
12	0
13	0
17	0
849	0
186	1
75	0
152	2
51	0
50	0
222	6
199	6
1286	1
26	0
0	0
2652	3
207	1
1	0
105	3
238	5
767	1
119	0
118	0
112	0
235	0
0	0
55	0
5	0
75	0
2473	2
88	1
661	2
457	2
35	1
66	0
49	0
614	14
424	17
133	45
680	42
203	1
775	1
979	3
92	0
29	0
3	0
1	0
112	0
81	0
161	0
158	0
14	0
1	0
284	0
287	0
104	10
723	21
873	23
794	14
205	1
2350	7
13	0
5	0
2	0
53	0
67	0
0	0
584	0
44	0
493	0
41	0
1101	0
138	0
162	0
34	0
22	0
12	0
39	0
20	0
23	0
42	0
73	4
374	4
114	0
895	1
5	1
41	1
90	0
69	0
16	0
126	0
298	5
77	4
114	0
65	0
34	5
927	5
38	0
927	0
6	0
3	0
8	0
4	0
0	0
4	0
6	0
335	6
125	6
78	0
290	0
128	0
99	0
83	0
212	0
234	1
190	1
11	0
0	0
157	0
68	1
40	1
22	0
62	0
0	0
0	0
571	0
20	0
23	0
8	0
0	0
0	0
0	0
72	0
124	1
176	0
90	0
9	0
67	2
14	2
10	1
17	0
129	0
119	1
153	1
206	0
76	0
2477	4
306	8
188	6
40	0
90	0
95	0
206	0
115	0
690	2
1182	4
313	0
146	0
69	0
533	0
608	0
132	0
14	0
274	0
57	0
366	0
99	0
109	0
719	0
1480	0
297	1
11	0
30	2
198	2
17	0
120	0
13	0
138	0
75	0
32	0
58	1
102	1
492	0
4	0
3	0
7	0
24	0
2	0
2	0
17	0
2	0
25	0
68	0
397	1
0	0
0	0
156	0
34	0
5	0
6	0
6	0
3	0
0	0
50	0
1	0
11	0
7	0
0	0
0	0
0	0
15	0
7	0
0	4
0	0
0	0
20	0
0	0
91	1
18	1
2461	4
71	1
49	0
122	3
28	3
41	0
16	0
10	0
13	0
88	0
25	0
8	0
208	3
136	3
30	0
7	0
32	1
2	1
5	0
189	0
186	1
21	1
135	0
37	1
110	1
144	0
1296	1
22	0
22	1
377	2
166	0
55086	456
60332	800
7114	351
81012	83
38458	177
30533	269
19181	128
148	0
18	0
472	0
9106	85
11469	88
1747	200
17723	310
3560	113
410	11
13000	7
1642	16
5180	29
1368	7
26	0
36	0
48	1
84	1
74	2
35	6
8	5
313	2
61	1
198	2
13	2
263	1
45	4
70	4
63	0
7411	6
636	13
1128	15
200	1
153	1
260	1
11088	77
3871	202
13679	182
8608	40
248	3
86	4
11	0
12	0
15	0
386	0
1637	24
603	23
952	5
1	0
12	0
143	0
46	0
38	0
87	0
31	1
58	0
7	1
4	1
2	0
150	0
33	0
478	0
28	0
88	1
357	1
89	0
18	0
17998	17
2145	36
1466	30
24	3
4	3
0	0
2	0
12	0
3	0
14	0
3	0
118	1
83	0
186	1
81	0
108	0
123	0
35	2
81	7
190	9
13	0
114	0
123	0
1733	19
638	20
980	37
298	46
41	11
977	4
475	4
139	2
294	4
209	6
515	21
601	28
60	9
1912	4
335	0
2023	36
517	33
1129	0
244	1
71	0
103	0
422	2
113	9
124	7
33	1
108	1
77	0
0	0
39	0
5	0
392	2
216	2
3643	4
7020	10
911	13
1496	13
